Eye Detection,Time
RIGHT,22:43:07
RIGHT,22:43:07
RIGHT,22:43:07
RIGHT,22:43:07
RIGHT,22:43:07
RIGHT,22:43:08
CENTER,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
CENTER,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
CENTER,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
CENTER,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
RIGHT,22:43:08
Blinking,22:43:09
Blinking,22:43:09
Blinking,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
CENTER,22:43:09
RIGHT,22:43:09
RIGHT,22:43:09
CENTER,22:43:09
CENTER,22:43:10
CENTER,22:43:10
CENTER,22:43:10
CENTER,22:43:10
CENTER,22:43:10
RIGHT,22:43:10
RIGHT,22:43:10
RIGHT,22:43:10
CENTER,22:43:10
RIGHT,22:43:10
CENTER,22:43:10
CENTER,22:43:10
RIGHT,22:43:10
RIGHT,22:43:10
RIGHT,22:43:10
RIGHT,22:43:10
CENTER,22:43:10
RIGHT,22:43:10
RIGHT,22:43:10
RIGHT,22:43:10
CENTER,22:43:10
LEFT,22:43:10
CENTER,22:43:10
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:11
LEFT,22:43:12
LEFT,22:43:12
LEFT,22:43:12
LEFT,22:43:12
LEFT,22:43:12
LEFT,22:43:12
LEFT,22:43:12
LEFT,22:43:12
LEFT,22:43:12
LEFT,22:43:12
