,Eye Detection,Time
0,Blinking,2025-02-12 18:45:42.398555
1,Looking center,2025-02-12 18:45:43.148453
2,Looking center,2025-02-12 18:45:43.704540
3,Looking center,2025-02-12 18:45:44.264537
4,Looking left,2025-02-12 18:45:44.826045
5,Looking center,2025-02-12 18:45:45.378390
6,Looking left,2025-02-12 18:45:45.937967
7,Looking center,2025-02-12 18:45:46.494663
8,Looking left,2025-02-12 18:45:47.074329
9,Looking center,2025-02-12 18:45:47.642000
10,Looking center,2025-02-12 18:45:48.207416
11,,2025-02-12 18:45:48.773561
12,,2025-02-12 18:45:49.334054
13,,2025-02-12 18:45:49.890899
14,,2025-02-12 18:45:50.446516
15,,2025-02-12 18:45:50.990287
16,,2025-02-12 18:45:51.532842
17,,2025-02-12 18:45:52.081057
18,,2025-02-12 18:45:52.623073
19,,2025-02-12 18:45:53.172089
20,,2025-02-12 18:45:53.715589
21,,2025-02-12 18:45:54.251988
22,,2025-02-12 18:45:54.813593
23,,2025-02-12 18:45:55.356535
24,,2025-02-12 18:45:55.913654
25,,2025-02-12 18:45:56.457980
26,Looking center,2025-02-12 18:45:57.015576
27,Looking center,2025-02-12 18:45:57.581364
28,Looking center,2025-02-12 18:45:58.143686
29,Looking center,2025-02-12 18:45:58.710224
30,Looking left,2025-02-12 18:45:59.294247
31,Looking center,2025-02-12 18:45:59.854208
32,Looking center,2025-02-12 18:46:00.420424
33,Looking center,2025-02-12 18:46:00.983751
34,Looking center,2025-02-12 18:46:01.549587
35,Looking center,2025-02-12 18:46:02.110580
36,Looking center,2025-02-12 18:46:02.674369
37,Looking center,2025-02-12 18:46:03.232786
38,Looking center,2025-02-12 18:46:03.783093
39,Looking center,2025-02-12 18:46:04.333002
40,Looking center,2025-02-12 18:46:04.890999
41,Looking center,2025-02-12 18:46:05.454145
42,Looking left,2025-02-12 18:46:05.998720
43,Looking left,2025-02-12 18:46:06.549458
44,Looking center,2025-02-12 18:46:07.099245
45,Looking left,2025-02-12 18:46:07.656117
