,Eye Detection,Time
138,CENTER,2025-02-24 22:49:03.849342
139,CENTER,2025-02-24 22:49:03.849342
140,CENTER,2025-02-24 22:49:03.849342
141,CENTER,2025-02-24 22:49:03.849342
142,CENTER,2025-02-24 22:49:03.849342
143,RIGHT,2025-02-24 22:49:03.849342
144,CENTER,2025-02-24 22:49:03.849342
145,CENTER,2025-02-24 22:49:03.849342
146,CENTER,2025-02-24 22:49:03.849342
147,CENTER,2025-02-24 22:49:03.849342
148,CENTER,2025-02-24 22:49:03.849342
149,CENTER,2025-02-24 22:49:03.849342
150,RIGHT,2025-02-24 22:49:03.849342
151,CENTER,2025-02-24 22:49:03.849342
152,RIGHT,2025-02-24 22:49:03.849342
153,CENTER,2025-02-24 22:49:03.849342
154,RIGHT,2025-02-24 22:49:03.849342
155,CENTER,2025-02-24 22:49:03.849342
156,CENTER,2025-02-24 22:49:03.849342
157,CENTER,2025-02-24 22:49:03.849342
158,CENTER,2025-02-24 22:49:03.849342
159,CENTER,2025-02-24 22:49:03.849342
160,CENTER,2025-02-24 22:49:03.849342
161,CENTER,2025-02-24 22:49:03.849342
162,RIGHT,2025-02-24 22:49:03.849342
163,CENTER,2025-02-24 22:49:03.849342
164,CENTER,2025-02-24 22:49:03.849342
165,CENTER,2025-02-24 22:49:03.849342
166,CENTER,2025-02-24 22:49:03.849342
167,CENTER,2025-02-24 22:49:03.849342
168,CENTER,2025-02-24 22:49:03.849342
169,CENTER,2025-02-24 22:49:03.849342
170,CENTER,2025-02-24 22:49:03.849342
171,CENTER,2025-02-24 22:49:03.849342
172,CENTER,2025-02-24 22:49:03.849342
173,CENTER,2025-02-24 22:49:03.849342
174,CENTER,2025-02-24 22:49:03.849342
175,CENTER,2025-02-24 22:49:03.849342
176,CENTER,2025-02-24 22:49:03.849342
177,CENTER,2025-02-24 22:49:03.849342
178,CENTER,2025-02-24 22:49:03.849342
179,CENTER,2025-02-24 22:49:03.849342
180,CENTER,2025-02-24 22:49:03.849342
181,CENTER,2025-02-24 22:49:03.849342
182,CENTER,2025-02-24 22:49:03.849342
183,CENTER,2025-02-24 22:49:03.849342
184,CENTER,2025-02-24 22:49:03.849342
185,CENTER,2025-02-24 22:49:03.849342
186,CENTER,2025-02-24 22:49:03.849342
187,CENTER,2025-02-24 22:49:03.849342
188,CENTER,2025-02-24 22:49:03.849342
189,CENTER,2025-02-24 22:49:03.849342
190,CENTER,2025-02-24 22:49:03.849342
191,CENTER,2025-02-24 22:49:03.849342
192,CENTER,2025-02-24 22:49:03.849342
193,CENTER,2025-02-24 22:49:03.849342
194,CENTER,2025-02-24 22:49:03.849342
195,CENTER,2025-02-24 22:49:03.849342
196,CENTER,2025-02-24 22:49:03.849342
197,CENTER,2025-02-24 22:49:03.849342
198,CENTER,2025-02-24 22:49:03.849342
199,CENTER,2025-02-24 22:49:03.849342
200,CENTER,2025-02-24 22:49:03.849342
201,CENTER,2025-02-24 22:49:03.849342
202,CENTER,2025-02-24 22:49:03.849342
203,CENTER,2025-02-24 22:49:03.849342
204,CENTER,2025-02-24 22:49:03.849342
205,CENTER,2025-02-24 22:49:03.849342
206,CENTER,2025-02-24 22:49:03.849342
207,CENTER,2025-02-24 22:49:03.849342
208,CENTER,2025-02-24 22:49:03.849342
209,CENTER,2025-02-24 22:49:03.849342
210,CENTER,2025-02-24 22:49:03.849342
211,Blinking,2025-02-24 22:49:03.849342
212,Blinking,2025-02-24 22:49:03.849342
213,LEFT,2025-02-24 22:49:03.849342
214,CENTER,2025-02-24 22:49:03.849342
215,CENTER,2025-02-24 22:49:03.849342
216,CENTER,2025-02-24 22:49:03.849342
217,CENTER,2025-02-24 22:49:03.849342
218,CENTER,2025-02-24 22:49:03.849342
219,CENTER,2025-02-24 22:49:03.849342
220,CENTER,2025-02-24 22:49:03.849342
221,CENTER,2025-02-24 22:49:03.849342
222,CENTER,2025-02-24 22:49:03.849342
223,CENTER,2025-02-24 22:49:03.849342
224,CENTER,2025-02-24 22:49:03.849342
225,CENTER,2025-02-24 22:49:03.849342
226,CENTER,2025-02-24 22:49:03.849342
227,LEFT,2025-02-24 22:49:03.849342
228,CENTER,2025-02-24 22:49:03.849342
229,CENTER,2025-02-24 22:49:03.849342
230,CENTER,2025-02-24 22:49:03.849342
231,CENTER,2025-02-24 22:49:03.849342
232,CENTER,2025-02-24 22:49:03.849342
233,CENTER,2025-02-24 22:49:03.849342
234,CENTER,2025-02-24 22:49:03.849342
235,CENTER,2025-02-24 22:49:03.849342
236,CENTER,2025-02-24 22:49:03.849342
237,CENTER,2025-02-24 22:49:03.849342
238,CENTER,2025-02-24 22:49:03.849342
239,CENTER,2025-02-24 22:49:03.849342
240,CENTER,2025-02-24 22:49:03.849342
241,CENTER,2025-02-24 22:49:03.849342
242,CENTER,2025-02-24 22:49:03.849342
243,CENTER,2025-02-24 22:49:03.849342
244,CENTER,2025-02-24 22:49:03.849342
245,CENTER,2025-02-24 22:49:03.849342
246,LEFT,2025-02-24 22:49:03.849342
247,Blinking,2025-02-24 22:49:03.849342
248,LEFT,2025-02-24 22:49:03.849342
249,CENTER,2025-02-24 22:49:03.849342
250,CENTER,2025-02-24 22:49:03.849342
251,CENTER,2025-02-24 22:49:03.849342
252,CENTER,2025-02-24 22:49:03.849342
253,CENTER,2025-02-24 22:49:03.849342
254,CENTER,2025-02-24 22:49:03.849342
255,CENTER,2025-02-24 22:49:03.849342
256,CENTER,2025-02-24 22:49:03.849342
257,CENTER,2025-02-24 22:49:03.849342
258,CENTER,2025-02-24 22:49:03.849342
259,CENTER,2025-02-24 22:49:03.849342
260,CENTER,2025-02-24 22:49:03.849342
261,CENTER,2025-02-24 22:49:03.849342
262,CENTER,2025-02-24 22:49:03.849342
263,CENTER,2025-02-24 22:49:03.849342
264,CENTER,2025-02-24 22:49:03.849342
265,CENTER,2025-02-24 22:49:03.849342
266,CENTER,2025-02-24 22:49:03.849342
267,CENTER,2025-02-24 22:49:03.849342
268,CENTER,2025-02-24 22:49:03.849342
269,CENTER,2025-02-24 22:49:03.849342
270,CENTER,2025-02-24 22:49:03.849342
271,CENTER,2025-02-24 22:49:03.849342
272,CENTER,2025-02-24 22:49:03.849342
273,CENTER,2025-02-24 22:49:03.849342
274,CENTER,2025-02-24 22:49:03.849342
275,CENTER,2025-02-24 22:49:03.849342
276,CENTER,2025-02-24 22:49:03.849342
277,CENTER,2025-02-24 22:49:03.849342
278,CENTER,2025-02-24 22:49:03.849342
279,CENTER,2025-02-24 22:49:03.849342
280,CENTER,2025-02-24 22:49:03.849342
281,CENTER,2025-02-24 22:49:03.849342
282,RIGHT,2025-02-24 22:49:03.849342
283,CENTER,2025-02-24 22:49:03.849342
284,CENTER,2025-02-24 22:49:03.849342
285,CENTER,2025-02-24 22:49:03.849342
286,CENTER,2025-02-24 22:49:03.849342
287,LEFT,2025-02-24 22:49:03.849342
288,LEFT,2025-02-24 22:49:03.849342
289,LEFT,2025-02-24 22:49:03.849342
290,CENTER,2025-02-24 22:49:03.849342
291,CENTER,2025-02-24 22:49:03.849342
292,CENTER,2025-02-24 22:49:03.849342
293,CENTER,2025-02-24 22:49:03.849342
294,LEFT,2025-02-24 22:49:03.849342
295,CENTER,2025-02-24 22:49:03.849342
296,Blinking,2025-02-24 22:49:03.849342
297,Blinking,2025-02-24 22:49:03.849342
298,Blinking,2025-02-24 22:49:03.849342
299,CENTER,2025-02-24 22:49:03.849342
300,CENTER,2025-02-24 22:49:03.849342
301,CENTER,2025-02-24 22:49:03.849342
302,CENTER,2025-02-24 22:49:03.849342
303,CENTER,2025-02-24 22:49:03.849342
304,CENTER,2025-02-24 22:49:03.849342
305,CENTER,2025-02-24 22:49:03.849342
306,CENTER,2025-02-24 22:49:03.849342
307,CENTER,2025-02-24 22:49:03.849342
308,CENTER,2025-02-24 22:49:03.849342
309,RIGHT,2025-02-24 22:49:03.849342
310,CENTER,2025-02-24 22:49:03.849342
311,CENTER,2025-02-24 22:49:03.849342
312,CENTER,2025-02-24 22:49:03.849342
313,CENTER,2025-02-24 22:49:03.849342
314,CENTER,2025-02-24 22:49:03.849342
315,CENTER,2025-02-24 22:49:03.849342
316,CENTER,2025-02-24 22:49:03.849342
317,CENTER,2025-02-24 22:49:03.849342
318,LEFT,2025-02-24 22:49:03.849342
319,CENTER,2025-02-24 22:49:03.849342
320,CENTER,2025-02-24 22:49:03.849342
321,CENTER,2025-02-24 22:49:03.849342
322,CENTER,2025-02-24 22:49:03.849342
323,CENTER,2025-02-24 22:49:03.849342
324,CENTER,2025-02-24 22:49:03.849342
325,CENTER,2025-02-24 22:49:03.849342
326,CENTER,2025-02-24 22:49:03.849342
327,CENTER,2025-02-24 22:49:03.849342
328,CENTER,2025-02-24 22:49:03.849342
329,CENTER,2025-02-24 22:49:03.849342
330,CENTER,2025-02-24 22:49:03.849342
331,CENTER,2025-02-24 22:49:03.849342
332,CENTER,2025-02-24 22:49:03.849342
333,CENTER,2025-02-24 22:49:03.849342
334,CENTER,2025-02-24 22:49:03.849342
335,CENTER,2025-02-24 22:49:03.849342
336,CENTER,2025-02-24 22:49:03.849342
337,CENTER,2025-02-24 22:49:03.849342
338,CENTER,2025-02-24 22:49:03.849342
339,CENTER,2025-02-24 22:49:03.849342
340,CENTER,2025-02-24 22:49:03.849342
341,CENTER,2025-02-24 22:49:03.849342
342,CENTER,2025-02-24 22:49:03.849342
343,CENTER,2025-02-24 22:49:03.849342
344,CENTER,2025-02-24 22:49:03.849342
345,CENTER,2025-02-24 22:49:03.849342
346,CENTER,2025-02-24 22:49:03.849342
347,CENTER,2025-02-24 22:49:03.849342
348,CENTER,2025-02-24 22:49:03.849342
349,CENTER,2025-02-24 22:49:03.849342
350,CENTER,2025-02-24 22:49:03.849342
351,CENTER,2025-02-24 22:49:03.849342
352,CENTER,2025-02-24 22:49:03.849342
353,CENTER,2025-02-24 22:49:03.849342
354,CENTER,2025-02-24 22:49:03.849342
355,LEFT,2025-02-24 22:49:03.849342
356,LEFT,2025-02-24 22:49:03.849342
357,LEFT,2025-02-24 22:49:03.849342
358,CENTER,2025-02-24 22:49:03.849342
359,CENTER,2025-02-24 22:49:03.849342
360,CENTER,2025-02-24 22:49:03.849342
361,CENTER,2025-02-24 22:49:03.849342
362,CENTER,2025-02-24 22:49:03.849342
363,CENTER,2025-02-24 22:49:03.849342
364,CENTER,2025-02-24 22:49:03.849342
365,CENTER,2025-02-24 22:49:03.849342
366,CENTER,2025-02-24 22:49:03.849342
367,CENTER,2025-02-24 22:49:03.849342
368,CENTER,2025-02-24 22:49:03.849342
369,CENTER,2025-02-24 22:49:03.849342
370,CENTER,2025-02-24 22:49:03.849342
371,CENTER,2025-02-24 22:49:03.849342
372,CENTER,2025-02-24 22:49:03.849342
373,CENTER,2025-02-24 22:49:03.849342
374,CENTER,2025-02-24 22:49:03.849342
375,CENTER,2025-02-24 22:49:03.849342
376,CENTER,2025-02-24 22:49:03.849342
377,CENTER,2025-02-24 22:49:03.849342
378,CENTER,2025-02-24 22:49:03.849342
379,CENTER,2025-02-24 22:49:03.849342
380,Blinking,2025-02-24 22:49:03.849342
381,Blinking,2025-02-24 22:49:03.849342
382,CENTER,2025-02-24 22:49:03.849342
383,LEFT,2025-02-24 22:49:03.849342
384,CENTER,2025-02-24 22:49:03.849342
385,CENTER,2025-02-24 22:49:03.849342
386,CENTER,2025-02-24 22:49:03.849342
387,CENTER,2025-02-24 22:49:03.849342
388,CENTER,2025-02-24 22:49:03.849342
389,CENTER,2025-02-24 22:49:03.849342
390,CENTER,2025-02-24 22:49:03.849342
391,CENTER,2025-02-24 22:49:03.849342
392,CENTER,2025-02-24 22:49:03.849342
393,CENTER,2025-02-24 22:49:03.849342
394,CENTER,2025-02-24 22:49:03.849342
395,CENTER,2025-02-24 22:49:03.849342
396,CENTER,2025-02-24 22:49:03.849342
397,CENTER,2025-02-24 22:49:03.849342
398,CENTER,2025-02-24 22:49:03.849342
399,CENTER,2025-02-24 22:49:03.849342
400,CENTER,2025-02-24 22:49:03.849342
401,CENTER,2025-02-24 22:49:03.849342
402,CENTER,2025-02-24 22:49:03.849342
403,CENTER,2025-02-24 22:49:03.849342
404,CENTER,2025-02-24 22:49:03.849342
405,CENTER,2025-02-24 22:49:03.849342
406,LEFT,2025-02-24 22:49:03.849342
407,CENTER,2025-02-24 22:49:03.849342
408,CENTER,2025-02-24 22:49:03.849342
409,Blinking,2025-02-24 22:49:03.849342
410,CENTER,2025-02-24 22:49:03.849342
411,CENTER,2025-02-24 22:49:03.849342
412,CENTER,2025-02-24 22:49:03.849342
413,CENTER,2025-02-24 22:49:03.849342
414,CENTER,2025-02-24 22:49:03.849342
415,CENTER,2025-02-24 22:49:03.849342
416,CENTER,2025-02-24 22:49:03.849342
417,CENTER,2025-02-24 22:49:03.849342
418,CENTER,2025-02-24 22:49:03.849342
419,RIGHT,2025-02-24 22:49:03.849342
420,CENTER,2025-02-24 22:49:03.849342
421,CENTER,2025-02-24 22:49:03.849342
422,CENTER,2025-02-24 22:49:03.849342
423,CENTER,2025-02-24 22:49:03.849342
424,CENTER,2025-02-24 22:49:03.849342
425,CENTER,2025-02-24 22:49:03.849342
426,CENTER,2025-02-24 22:49:03.849342
427,CENTER,2025-02-24 22:49:03.849342
428,CENTER,2025-02-24 22:49:03.849342
429,CENTER,2025-02-24 22:49:03.849342
430,CENTER,2025-02-24 22:49:03.849342
431,RIGHT,2025-02-24 22:49:03.849342
432,CENTER,2025-02-24 22:49:03.849342
433,CENTER,2025-02-24 22:49:03.849342
434,CENTER,2025-02-24 22:49:03.849342
435,CENTER,2025-02-24 22:49:03.849342
436,LEFT,2025-02-24 22:49:03.849342
437,LEFT,2025-02-24 22:49:03.849342
438,LEFT,2025-02-24 22:49:03.849342
439,LEFT,2025-02-24 22:49:03.849342
440,LEFT,2025-02-24 22:49:03.849342
441,LEFT,2025-02-24 22:49:03.849342
442,LEFT,2025-02-24 22:49:03.849342
443,LEFT,2025-02-24 22:49:03.849342
444,CENTER,2025-02-24 22:49:03.849342
445,CENTER,2025-02-24 22:49:03.849342
446,CENTER,2025-02-24 22:49:03.849342
447,CENTER,2025-02-24 22:49:03.849342
448,LEFT,2025-02-24 22:49:03.849342
449,LEFT,2025-02-24 22:49:03.849342
450,LEFT,2025-02-24 22:49:03.849342
451,LEFT,2025-02-24 22:49:03.849342
452,CENTER,2025-02-24 22:49:03.849342
453,CENTER,2025-02-24 22:49:03.849342
454,CENTER,2025-02-24 22:49:03.849342
455,CENTER,2025-02-24 22:49:03.849342
456,CENTER,2025-02-24 22:49:03.849342
457,CENTER,2025-02-24 22:49:03.849342
458,CENTER,2025-02-24 22:49:03.849342
459,LEFT,2025-02-24 22:49:03.849342
460,LEFT,2025-02-24 22:49:03.849342
461,LEFT,2025-02-24 22:49:03.849342
462,LEFT,2025-02-24 22:49:03.849342
463,LEFT,2025-02-24 22:49:03.849342
464,LEFT,2025-02-24 22:49:03.849342
465,LEFT,2025-02-24 22:49:03.849342
466,LEFT,2025-02-24 22:49:03.849342
467,LEFT,2025-02-24 22:49:03.849342
468,LEFT,2025-02-24 22:49:03.849342
469,CENTER,2025-02-24 22:49:03.849342
470,Blinking,2025-02-24 22:49:03.849342
471,CENTER,2025-02-24 22:49:03.849342
472,CENTER,2025-02-24 22:49:03.849342
473,CENTER,2025-02-24 22:49:03.849342
474,LEFT,2025-02-24 22:49:03.849342
475,LEFT,2025-02-24 22:49:03.849342
476,LEFT,2025-02-24 22:49:03.849342
477,LEFT,2025-02-24 22:49:03.849342
478,LEFT,2025-02-24 22:49:03.849342
479,LEFT,2025-02-24 22:49:03.849342
480,CENTER,2025-02-24 22:49:03.849342
481,LEFT,2025-02-24 22:49:03.849342
482,LEFT,2025-02-24 22:49:03.849342
483,LEFT,2025-02-24 22:49:03.849342
484,LEFT,2025-02-24 22:49:03.849342
485,CENTER,2025-02-24 22:49:03.849342
486,LEFT,2025-02-24 22:49:03.849342
487,LEFT,2025-02-24 22:49:03.849342
488,LEFT,2025-02-24 22:49:03.849342
489,CENTER,2025-02-24 22:49:03.849342
490,CENTER,2025-02-24 22:49:03.849342
491,CENTER,2025-02-24 22:49:03.849342
492,LEFT,2025-02-24 22:49:03.849342
493,LEFT,2025-02-24 22:49:03.849342
494,LEFT,2025-02-24 22:49:03.849342
495,LEFT,2025-02-24 22:49:03.849342
496,LEFT,2025-02-24 22:49:03.849342
497,CENTER,2025-02-24 22:49:03.849342
498,CENTER,2025-02-24 22:49:03.849342
499,LEFT,2025-02-24 22:49:03.849342
500,CENTER,2025-02-24 22:49:03.849342
501,LEFT,2025-02-24 22:49:03.849342
502,CENTER,2025-02-24 22:49:03.849342
503,LEFT,2025-02-24 22:49:03.849342
504,LEFT,2025-02-24 22:49:03.849342
505,LEFT,2025-02-24 22:49:03.849342
506,LEFT,2025-02-24 22:49:03.849342
507,CENTER,2025-02-24 22:49:03.849342
508,CENTER,2025-02-24 22:49:03.849342
509,LEFT,2025-02-24 22:49:03.849342
510,LEFT,2025-02-24 22:49:03.849342
511,LEFT,2025-02-24 22:49:03.849342
512,CENTER,2025-02-24 22:49:03.849342
513,LEFT,2025-02-24 22:49:03.849342
514,LEFT,2025-02-24 22:49:03.849342
515,CENTER,2025-02-24 22:49:03.849342
516,LEFT,2025-02-24 22:49:03.849342
517,LEFT,2025-02-24 22:49:03.849342
518,LEFT,2025-02-24 22:49:03.849342
519,CENTER,2025-02-24 22:49:03.849342
520,LEFT,2025-02-24 22:49:03.849342
521,LEFT,2025-02-24 22:49:03.849342
522,LEFT,2025-02-24 22:49:03.849342
523,LEFT,2025-02-24 22:49:03.849342
524,LEFT,2025-02-24 22:49:03.849342
525,CENTER,2025-02-24 22:49:03.849342
526,CENTER,2025-02-24 22:49:03.849342
527,LEFT,2025-02-24 22:49:03.849342
