frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,nose_x,nose_y,shoulder_diff,head_forward,posture,movement_amount,movement_status
1,0.7220335006713867,0.9423955678939819,0.20607897639274597,0.8719741702079773,0.4855343699455261,0.6010252237319946,0.07042139768600464,0.021478131413459778,Bad - Slouching,0,Unknown
2,0.7254725694656372,0.9428814053535461,0.2044661045074463,0.8764225244522095,0.5035356283187866,0.6006398797035217,0.06645888090133667,0.03856629133224487,Bad - Slouching,0.026210322656394995,Moving
3,0.7268580198287964,0.9435605406761169,0.20434626936912537,0.8798879384994507,0.5509834289550781,0.6001269817352295,0.06367260217666626,0.08538128435611725,Bad - Slouching,0.05246100900196682,Moving
4,0.7216657400131226,0.9435526728630066,0.20434805750846863,0.8802287578582764,0.6553369760513306,0.6016935706138611,0.06332391500473022,0.19233007729053497,Bad - Slouching,0.10989841532713608,Moving
5,0.7215074896812439,0.9464201331138611,0.20624741911888123,0.8801819086074829,0.7041549682617188,0.6001982092857361,0.06623822450637817,0.2402775138616562,Bad - Slouching,0.053612652339469276,Moving
6,0.7204784154891968,0.9481331706047058,0.20762065052986145,0.8801378011703491,0.71056067943573,0.5995243787765503,0.06799536943435669,0.24651114642620087,Bad - Slouching,0.009813366213565402,Still
7,0.7202140092849731,0.9492688775062561,0.21268315613269806,0.8801040649414062,0.7114653587341309,0.5979583263397217,0.06916481256484985,0.24501677602529526,Bad - Slouching,0.008037278154190036,Still
8,0.7191312313079834,0.9532629251480103,0.2201496809720993,0.8790667653083801,0.7074847221374512,0.5940243005752563,0.07419615983963013,0.23784426599740982,Bad - Slouching,0.017273058423037467,Moving
9,0.7193452715873718,0.9554980397224426,0.22670702636241913,0.8789374828338623,0.7115046381950378,0.5902721881866455,0.07656055688858032,0.23847848922014236,Bad - Slouching,0.014302874993168142,Moving
10,0.7188323140144348,0.9515703320503235,0.23507821559906006,0.8788778185844421,0.7182313203811646,0.5898047685623169,0.07269251346588135,0.24127605557441711,Bad - Slouching,0.019075366482006775,Moving
11,0.7193326950073242,0.9451542496681213,0.24124546349048615,0.8788394927978516,0.7141305208206177,0.5873702168464661,0.06631475687026978,0.2338414415717125,Bad - Slouching,0.017371956737097485,Moving
12,0.7215902805328369,0.9428176283836365,0.2474781721830368,0.8788760304450989,0.716187596321106,0.5852963328361511,0.0639415979385376,0.2316533699631691,Bad - Slouching,0.01240294492447875,Moving
13,0.7211467027664185,0.9413489103317261,0.24807529151439667,0.8750134110450745,0.7173547744750977,0.5843303799629211,0.06633549928665161,0.2327437773346901,Bad - Slouching,0.0069577893070364594,Still
14,0.7189710736274719,0.9413110613822937,0.24682097136974335,0.8728994727134705,0.7230468988418579,0.5841449499130249,0.06841158866882324,0.24015087634325027,Bad - Slouching,0.010329161295405079,Moving
15,0.7199922800064087,0.9413449168205261,0.24413397908210754,0.8707640767097473,0.7278136610984802,0.5867426991462708,0.07058084011077881,0.2457505315542221,Bad - Slouching,0.009882602716096103,Still
16,0.7187901735305786,0.941601037979126,0.23743529617786407,0.8705804944038391,0.7295738458633423,0.5918208956718445,0.07102054357528687,0.25146111100912094,Bad - Slouching,0.013304886810435325,Moving
17,0.7169865369796753,0.9415614008903503,0.2359977662563324,0.8694061040878296,0.728095293045044,0.5967215299606323,0.07215529680252075,0.2516031414270401,Bad - Slouching,0.008779149273686407,Still
18,0.7169578075408936,0.9420109987258911,0.23490455746650696,0.8686338663101196,0.7280267477035522,0.5980028510093689,0.07337713241577148,0.252095565199852,Bad - Slouching,0.0030721210729969294,Still
19,0.7055582404136658,0.9387708902359009,0.23502345383167267,0.8686257004737854,0.7262467741966248,0.5991827845573425,0.07014518976211548,0.25595592707395554,Bad - Slouching,0.01410581481117739,Moving
20,0.7060621976852417,0.9403629899024963,0.23239628970623016,0.8714525103569031,0.7262195348739624,0.5991352200508118,0.06891047954559326,0.25699029117822647,Bad - Slouching,0.005583893400386739,Still
21,0.7047276496887207,0.9400613307952881,0.233113095164299,0.8729861378669739,0.7258349657058716,0.5997388958930969,0.06707519292831421,0.2569145932793617,Bad - Slouching,0.0037768547737048424,Still
