,Eye Detection,Time
140,Looking left,2025-02-12 17:54:02.288009
141,Looking left,2025-02-12 17:54:02.863180
142,Looking left,2025-02-12 17:54:03.440571
143,Looking left,2025-02-12 17:54:04.028129
144,Looking left,2025-02-12 17:54:04.604798
145,Looking left,2025-02-12 17:54:05.307546
146,Looking left,2025-02-12 17:54:05.883968
147,Looking left,2025-02-12 17:54:06.475069
148,,2025-02-12 17:54:07.082144
149,,2025-02-12 17:54:07.657143
150,Blinking,2025-02-12 17:54:08.228479
