timestamp,room_temperature,room_pressure,room_humidity,room_light_intensity,skin_temperature,light_temperature,heart_rate,eye_tracking,room_noise,mouse_movement,body_posture,body_movement,voice,face_emotion,task_timestamp
2025-08-13 13:54:55,23.62,995.4449999999999,57.677499999999995,119.07,27.685000000000002,3383.51,107.5,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:55:00,23.622500000000002,995.43,57.9125,119.07,27.66,3367.96,107.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:55:05,23.62,995.4325,57.5225,119.07,27.73,3368.94,106.5,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:55:10,23.6175,995.4225,58.035,119.07,27.695,3372.145,105.5,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:55:15,23.6125,995.445,57.77,119.07,27.685000000000002,3362.1724999999997,105.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:55:20,23.6075,995.4475,58.0775,119.07,27.745,3372.145,105.0,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:55:25,23.6025,995.435,57.7475,119.07,27.69,3368.94,103.75,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:55:30,23.6075,995.4300000000001,58.1975,119.07,27.700000000000003,3368.94,102.75,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:55:35,23.605,995.4225,57.629999999999995,119.07,27.725,3368.94,102.5,unknown,unknown,active,poor,still,silent,neutral,unknown
2025-08-13 13:55:40,23.605,995.4225,57.865,119.07,27.755,3368.94,102.5,unknown,unknown,active,poor,moving,silent,neutral,unknown
2025-08-13 13:55:45,23.6025,995.4325,57.62,119.07,27.745,3368.94,101.5,unknown,unknown,active,poor,moving,silent,neutral,unknown
2025-08-13 13:55:50,23.595,995.395,57.567499999999995,119.07,27.71,3368.94,101.5,unknown,unknown,active,poor,moving,silent,neutral,unknown
2025-08-13 13:55:55,23.59,995.4325,58.295,119.07,27.675,3368.94,102.0,unknown,unknown,active,poor,still,silent,angry,unknown
2025-08-13 13:56:00,23.595,995.3924999999999,57.78,119.07,27.67,3368.94,101.75,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 13:56:05,23.59,995.4024999999999,57.7475,119.07,27.665,3368.94,101.0,unknown,unknown,active,poor,still,silent,sad,unknown
2025-08-13 13:56:10,23.5875,995.4475,57.92,119.07,27.665,3368.94,100.25,unknown,unknown,active,poor,still,silent,sad,unknown
