frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,nose_x,nose_y,nose_z,shoulder_diff,head_forward,posture,bad_posture_streak,depth_change,movement_status
7,0.23747296631336212,0.49903571605682373,0.08290627598762512,0.47302109003067017,0.1947023868560791,0.38776424527168274,-0.3247219920158386,0.026014626026153564,0.03451276570558548,Good,0,0,Stable
10,0.10991468280553818,0.8125969171524048,-0.08135032653808594,0.666429877281189,0.16698595881462097,0.6564956903457642,-1.7119863033294678,0.14616703987121582,0.15270378068089485,Bad - Slouching,1,0.6936321556568146,Significant Depth Movement
11,0.005412490107119083,0.7298071980476379,-0.09279747307300568,0.6003955602645874,0.21371063590049744,0.6566269993782043,-0.664237916469574,0.12941163778305054,0.25740312738344073,Bad - Slouching,2,0.11803874373435974,Significant Depth Movement
12,-0.00081885966937989,0.6955350637435913,-0.08923791348934174,0.5937532782554626,0.2024495154619217,0.6542243957519531,-0.9040266275405884,0.10178178548812866,0.2474779020412825,Bad - Slouching,3,0.0009278059005737305,Stable
13,0.019631091505289078,0.684859037399292,-0.08916907012462616,0.5932208299636841,0.18595682084560394,0.6528502106666565,-1.2154262065887451,0.09163820743560791,0.22072581015527248,Bad - Slouching,4,0.06283659934997554,Stable
14,0.030891958624124527,0.7191449403762817,-0.03550030291080475,0.5891966223716736,0.18480712175369263,0.6107958555221558,-0.7716132402420044,0.12994831800460815,0.18711129389703274,Bad - Slouching,5,0.08937824964523311,Stable
15,0.03920770063996315,0.7223108410835266,-0.03306151181459427,0.46493712067604065,0.1513202041387558,0.5992554426193237,-0.4688491225242615,0.25737372040748596,0.14824710972607136,Bad - Slouching,6,0.24862743616104122,Significant Depth Movement
16,0.06236141920089722,0.7247358560562134,0.02999345026910305,0.41887909173965454,0.15568533539772034,0.5676635503768921,-0.15836486220359802,0.30585676431655884,0.1095079006627202,Bad - Slouching,7,0.10117461085319512,Significant Depth Movement
17,0.0880427435040474,0.71467524766922,0.010613195598125458,0.35201722383499146,0.13688601553440094,0.576564610004425,-0.353951096534729,0.3626580238342285,0.08755804598331451,Bad - Slouching,8,0.11001510620117194,Significant Depth Movement
18,0.076626256108284,0.7449544072151184,-0.0145509522408247,0.3540782034397125,0.16897068917751312,0.5569652318954468,-0.5290363430976868,0.3908762037754059,0.13793303724378347,Bad - Slouching,9,0.13727797269821163,Significant Depth Movement
19,0.07686257362365723,0.7164890766143799,-0.017561962828040123,0.3609272241592407,0.12411926686763763,0.5651565194129944,-0.530647873878479,0.35556185245513916,0.09446896146982908,Bad - Slouching,10,0.048193073272705056,Stable
20,0.10757146775722504,0.80931556224823,-0.008931120857596397,0.3523358702659607,0.18312840163707733,0.5344535112380981,-0.2993339002132416,0.4569796919822693,0.133808228187263,Bad - Slouching,11,0.03390304446220399,Stable
21,0.1883654147386551,0.800990104675293,-0.012239353731274605,0.33619117736816406,0.17258894443511963,0.5357135534286499,-0.8146527409553528,0.4647989273071289,0.08452591393142939,Bad - Slouching,12,0.13125757575035096,Significant Depth Movement
22,0.1852894127368927,0.8641159534454346,-0.014711342751979828,0.3082817494869232,0.09614227712154388,0.5103849768638611,-0.7774516344070435,0.5558342039585114,0.010853242129087448,Bad - Slouching,13,0.08470010757446289,Stable
23,0.2386602908372879,0.9283650517463684,0.0016761705046519637,0.32041189074516296,0.10040700435638428,0.5013534426689148,-0.7606191635131836,0.6079531610012054,-0.019761226314585656,Bad - Slouching,14,0.046316564083099365,Stable
24,0.220123291015625,0.9070530533790588,0.00010135953925782815,0.30282577872276306,0.09393216669559479,0.46664682030677795,-0.6975396871566772,0.6042272746562958,-0.016180158581846626,Bad - Slouching,15,0.03337836265563965,Stable
25,0.2031169831752777,0.9166291356086731,-0.002785666845738888,0.31919315457344055,0.0944921150803566,0.46819931268692017,-0.607387363910675,0.5974359810352325,-0.005673543084412813,Bad - Slouching,16,0.06161069273948672,Stable
26,0.14656108617782593,0.8985622525215149,0.04733132943511009,0.2940918207168579,0.098573699593544,0.45393049716949463,-0.6200162768363953,0.604470431804657,0.0016274917870759964,Bad - Slouching,17,0.03892729282379159,Stable
27,0.14461657404899597,0.9091461896896362,0.000301647640299052,0.29851242899894714,0.04784979671239853,0.4537336230278015,-0.6922235488891602,0.6106337606906891,-0.024609314132248983,Bad - Slouching,18,0.01704561710357666,Stable
28,0.20912782847881317,0.9008331298828125,0.043519165366888046,0.3005315661430359,0.03799573332071304,0.45840615034103394,-1.1954824924468994,0.6003015637397766,-0.08832776360213757,Bad - Slouching,19,0.08697266578674323,Stable
29,0.2560625672340393,0.8947957754135132,0.08461520075798035,0.3004240393638611,0.049310024827718735,0.463518887758255,-0.9639175534248352,0.5943717360496521,-0.12102885916829109,Bad - Slouching,20,0.053275573253631525,Stable
30,0.28470656275749207,0.9277922511100769,0.06665466725826263,0.30401501059532166,0.0468396358191967,0.46644723415374756,-1.6329214572906494,0.6237772405147552,-0.12884097918868065,Bad - Slouching,21,0.205106818675995,Significant Depth Movement
31,0.22808077931404114,0.9377850294113159,0.0070799277164042,0.3084765672683716,0.05090390518307686,0.4511999785900116,-1.1697651147842407,0.6293084621429443,-0.06667644833214581,Bad - Slouching,22,0.10994976758956909,Significant Depth Movement
32,0.22164013981819153,0.945540726184845,0.0044804783537983894,0.32144060730934143,0.04582385718822479,0.45205190777778625,-1.166645884513855,0.6241001188755035,-0.06723645189777017,Bad - Slouching,23,0.09488446712493892,Stable
33,0.1917484700679779,0.9726161956787109,-0.060361869633197784,0.3150940239429474,0.0286361463367939,0.4537236988544464,-2.5524191856384277,0.6575221717357635,-0.03705715388059616,Bad - Slouching,24,0.27138733863830566,Significant Depth Movement
34,0.15531091392040253,0.9612874984741211,-0.10852928459644318,0.2503688931465149,0.025214219465851784,0.47013145685195923,-2.625955581665039,0.7109186053276062,0.0018234048038721085,Bad - Slouching,25,0.3324076056480407,Significant Depth Movement
35,0.1784917563199997,0.9529649019241333,-0.04849449545145035,0.2627597451210022,0.03612099587917328,0.4724716544151306,-1.3688759803771973,0.6902051568031311,-0.028877634555101395,Bad - Slouching,26,0.05280909538269052,Stable
