frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,nose_x,nose_y,shoulder_diff,head_forward,posture,movement_amount,movement_status
1,0.8578809499740601,0.8266405463218689,0.2377302199602127,0.7947306036949158,0.5480899810791016,0.5932611227035522,0.031909942626953125,0.00028439611196517944,Good,0,Unknown
2,0.8603076934814453,0.8337767124176025,0.23771695792675018,0.7868484258651733,0.4996761679649353,0.591852605342865,0.0469282865524292,-0.049336157739162445,Good,0.0638539899144984,Moving
3,0.8611811399459839,0.8394585847854614,0.2355673760175705,0.7841516137123108,0.4874867796897888,0.5903876423835754,0.055306971073150635,-0.06088747829198837,Bad - Slouching,0.021474415658229863,Moving
4,0.861371636390686,0.842596709728241,0.23528452217578888,0.7819216251373291,0.4840855002403259,0.587788462638855,0.060675084590911865,-0.06424257904291153,Bad - Slouching,0.009672462512576464,Still
5,0.8626657724380493,0.8450773358345032,0.23505571484565735,0.7819372415542603,0.4836735129356384,0.5870990753173828,0.06314009428024292,-0.0651872307062149,Bad - Slouching,0.003830360201542435,Still
6,0.8642255067825317,0.8455083966255188,0.23486328125,0.7819952368736267,0.4842143952846527,0.5855455994606018,0.06351315975189209,-0.06532999873161316,Bad - Slouching,0.003464131144366376,Still
7,0.8642203211784363,0.8463699221611023,0.23485958576202393,0.7818436026573181,0.4842039942741394,0.5852489471435547,0.06452631950378418,-0.0653359591960907,Bad - Slouching,0.0013100549803107958,Still
8,0.864910900592804,0.8466484546661377,0.2366747409105301,0.7807343006134033,0.48298710584640503,0.5898040533065796,0.06591415405273438,-0.067805714905262,Bad - Slouching,0.0075867687064188555,Still
9,0.8653966784477234,0.8465974926948547,0.24173414707183838,0.7806704640388489,0.4806852340698242,0.5913076400756836,0.06592702865600586,-0.07288017868995667,Bad - Slouching,0.008297686484081735,Still
10,0.8665329813957214,0.8470281362533569,0.24642078578472137,0.7809663414955139,0.4798755645751953,0.5951293110847473,0.06606179475784302,-0.07660131901502609,Bad - Slouching,0.009817638110001924,Still
11,0.8671798706054688,0.8474775552749634,0.2510594427585602,0.7809896469116211,0.47956976294517517,0.5978795886039734,0.06648790836334229,-0.0795498937368393,Bad - Slouching,0.008193623870000295,Still
12,0.8681120872497559,0.8474520444869995,0.2546612024307251,0.7811388373374939,0.47955769300460815,0.5985935926437378,0.06631320714950562,-0.08182895183563232,Bad - Slouching,0.0052515198871634465,Still
13,0.8680146336555481,0.8474565744400024,0.25456708669662476,0.7810634970664978,0.4801329970359802,0.598774254322052,0.06639307737350464,-0.0811578631401062,Bad - Slouching,0.000821119185841754,Still
14,0.8683302998542786,0.8466302752494812,0.25388965010643005,0.780415415763855,0.48049196600914,0.6004526615142822,0.06621485948562622,-0.0806180089712143,Bad - Slouching,0.003538420227700496,Still
15,0.8691064119338989,0.8444604873657227,0.25364381074905396,0.7855532765388489,0.49483758211135864,0.6013504266738892,0.05890721082687378,-0.0665375292301178,Bad - Slouching,0.021821834386032093,Moving
16,0.8697255849838257,0.8442639708518982,0.254109263420105,0.7858097553253174,0.5011915564537048,0.601338803768158,0.05845421552658081,-0.0607258677482605,Bad - Slouching,0.007535034767583075,Still
17,0.8699250221252441,0.8444298505783081,0.25397926568984985,0.7867391705513,0.5044490098953247,0.6010077595710754,0.05769068002700806,-0.05750313401222229,Bad - Slouching,0.0044720998887648414,Still
18,0.8699396848678589,0.8424359560012817,0.253998726606369,0.7869986295700073,0.5074077844619751,0.6010605096817017,0.055437326431274414,-0.054561421275138855,Bad - Slouching,0.005213381078611632,Still
19,0.8712417483329773,0.8424834609031677,0.25556710362434387,0.7863541841506958,0.5078397989273071,0.6024547815322876,0.056129276752471924,-0.055564627051353455,Bad - Slouching,0.004458214518568,Still
20,0.8716006278991699,0.8424626588821411,0.25573810935020447,0.7862977385520935,0.5078414678573608,0.6033203601837158,0.05616492033004761,-0.055827900767326355,Bad - Slouching,0.0014051429179407343,Still
21,0.8716186285018921,0.8430492877960205,0.2553315758705139,0.7869839072227478,0.5083087682723999,0.6069021821022034,0.056065380573272705,-0.0551663339138031,Bad - Slouching,0.004996638205675219,Still
22,0.8716034889221191,0.8437570333480835,0.25401586294174194,0.7889644503593445,0.5081591606140137,0.6095728278160095,0.054792582988739014,-0.05465051531791687,Bad - Slouching,0.005760481215473845,Still
23,0.8709602355957031,0.8436288237571716,0.2544768452644348,0.78732830286026,0.5115879774093628,0.6130106449127197,0.05630052089691162,-0.05113056302070618,Bad - Slouching,0.007211201487928901,Still
24,0.8708294630050659,0.8442304134368896,0.254962682723999,0.7928342819213867,0.5159803032875061,0.6162077188491821,0.05139613151550293,-0.04691576957702637,Bad - Slouching,0.011575672653534133,Moving
25,0.8706248998641968,0.8449566960334778,0.2553981840610504,0.7933773398399353,0.5208243131637573,0.6172008514404297,0.05157935619354248,-0.04218722879886627,Bad - Slouching,0.006395423610270311,Still
26,0.8706120252609253,0.8446626663208008,0.2569429576396942,0.7934108376502991,0.5220763087272644,0.6174776554107666,0.05125182867050171,-0.04170118272304535,Bad - Slouching,0.0031216780024974954,Still
27,0.8694473505020142,0.8477569818496704,0.26153653860092163,0.790398359298706,0.5223860740661621,0.6217238306999207,0.057358622550964355,-0.043105870485305786,Bad - Slouching,0.013056973907501965,Moving
28,0.8684428334236145,0.8499109745025635,0.2642364501953125,0.7877798080444336,0.5226132273674011,0.6243017315864563,0.06213116645812988,-0.04372641444206238,Bad - Slouching,0.008725758150820618,Still
