frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,nose_x,nose_y,shoulder_diff,head_forward,posture,movement_amount,movement_status
1,0.8648883700370789,0.8395555019378662,0.22595036029815674,0.7993484735488892,0.5336276888847351,0.5655641555786133,0.04020702838897705,-0.01179167628288269,Good,0,Unknown
2,0.8648457527160645,0.8384155035018921,0.21884453296661377,0.7995084524154663,0.5372772216796875,0.5635735392570496,0.03890705108642578,-0.004567921161651611,Good,0.012405542270705557,Moving
3,0.864968478679657,0.8371618986129761,0.2137812077999115,0.800230860710144,0.5395082235336304,0.562906801700592,0.03693103790283203,0.00013338029384613037,Good,0.008702697270789076,Still
4,0.8650081753730774,0.8361419439315796,0.2116655856370926,0.8019524812698364,0.5405853390693665,0.5616262555122375,0.034189462661743164,0.0022484585642814636,Good,0.005421645893669497,Still
5,0.8651898503303528,0.8356962203979492,0.21080593764781952,0.8022333979606628,0.5412367582321167,0.5613813400268555,0.03346282243728638,0.003238864243030548,Good,0.002081648284646278,Still
6,0.865261435508728,0.8356621265411377,0.21080438792705536,0.8023378849029541,0.5414203405380249,0.5611335039138794,0.033324241638183594,0.0033874288201332092,Good,0.0004922116971877179,Still
7,0.8652673959732056,0.8353397846221924,0.2109447419643402,0.8024348020553589,0.5418004989624023,0.560804009437561,0.032904982566833496,0.0036944299936294556,Good,0.0009960389168796936,Still
8,0.8654042482376099,0.8343163728713989,0.2119522988796234,0.8024454712867737,0.5422472357749939,0.560163676738739,0.031870901584625244,0.0035689622163772583,Good,0.0028209033523067216,Still
9,0.8654904365539551,0.8343448638916016,0.21248838305473328,0.8026501536369324,0.5428106188774109,0.5595077276229858,0.03169471025466919,0.0038212090730667114,Good,0.0015292845512960163,Still
10,0.8654640316963196,0.8343079090118408,0.21265485882759094,0.8026840686798096,0.5430563688278198,0.5587145090103149,0.03162384033203125,0.003996923565864563,Good,0.0010457290746953148,Still
11,0.8654353022575378,0.8343591094017029,0.2131044864654541,0.8029704689979553,0.5445749759674072,0.5586605668067932,0.03138864040374756,0.005305081605911255,Good,0.0021113697274316103,Still
12,0.8653134107589722,0.8335323333740234,0.2148962765932083,0.802383303642273,0.5454046130180359,0.5586389899253845,0.03114902973175049,0.005299769341945648,Good,0.0035511742289877635,Still
13,0.8653291463851929,0.8332059979438782,0.21530815958976746,0.8020849823951721,0.5459731817245483,0.5586229562759399,0.031121015548706055,0.005654528737068176,Good,0.0014040790546395719,Still
14,0.8652986288070679,0.8333544135093689,0.21536843478679657,0.8014642000198364,0.5460485816001892,0.5594272613525391,0.03189021348953247,0.0057150498032569885,Good,0.0015830539118441827,Still
15,0.8653188943862915,0.8333475589752197,0.21530131995677948,0.801562488079071,0.5461527109146118,0.5594300031661987,0.03178507089614868,0.0058426037430763245,Good,0.0002445753895115973,Still
16,0.8653231859207153,0.8330069184303284,0.21537458896636963,0.8000316023826599,0.5462101697921753,0.5596922636032104,0.03297531604766846,0.0058612823486328125,Good,0.002141786640105339,Still
17,0.8654095530509949,0.8330214619636536,0.21608158946037292,0.7999610304832458,0.5461965203285217,0.559739351272583,0.033060431480407715,0.00545094907283783,Good,0.0008471231203729656,Still
18,0.8654059171676636,0.8329585194587708,0.21610769629478455,0.7997198700904846,0.5463504195213318,0.559738278388977,0.03323864936828613,0.005593612790107727,Good,0.00045951973889754686,Still
19,0.8654276132583618,0.8329582214355469,0.21660968661308289,0.7994788289070129,0.5465366244316101,0.5590131878852844,0.033479392528533936,0.005517974495887756,Good,0.0013271777290608318,Still
20,0.8654303550720215,0.8328133225440979,0.21638986468315125,0.7996065616607666,0.5466071963310242,0.5588682889938354,0.0332067608833313,0.005697086453437805,Good,0.0005603345409448308,Still
21,0.8655203580856323,0.8328723907470703,0.2163093537092209,0.7997108697891235,0.5464068055152893,0.5588244795799255,0.03316152095794678,0.005491949617862701,Good,0.00044454442044860026,Still
22,0.8655098676681519,0.8329219222068787,0.21636636555194855,0.7993718385696411,0.5464138388633728,0.5588438510894775,0.03355008363723755,0.005475722253322601,Good,0.00041503037755628153,Still
23,0.8660088777542114,0.8329881429672241,0.21648117899894714,0.7989270091056824,0.5460537672042847,0.5592643022537231,0.03406113386154175,0.004808738827705383,Good,0.001516354341820849,Still
24,0.8659488558769226,0.833040177822113,0.217328280210495,0.7953394651412964,0.5442377328872681,0.5604159235954285,0.03770071268081665,0.002599164843559265,Good,0.005916032799458567,Still
25,0.8659879565238953,0.8330444693565369,0.21863822638988495,0.7946332097053528,0.5434905886650085,0.5604003667831421,0.03841125965118408,0.0011774972081184387,Good,0.0022748471588078354,Still
26,0.866100013256073,0.8330720067024231,0.2191886007785797,0.7935596108436584,0.5428329706192017,0.5612572431564331,0.03951239585876465,0.00018866360187530518,Good,0.002401980973932853,Still
27,0.8662906885147095,0.832846462726593,0.21962912380695343,0.7935824990272522,0.5424976348876953,0.5616947412490845,0.03926396369934082,-0.0004622712731361389,Good,0.001287689746453637,Still
28,0.866500735282898,0.8328823447227478,0.2197750061750412,0.7939749956130981,0.5423920750617981,0.5617013573646545,0.03890734910964966,-0.0007457956671714783,Good,0.0007375870287338832,Still
29,0.8666726350784302,0.8329311013221741,0.21992802619934082,0.7942211031913757,0.5422644019126892,0.5617185235023499,0.03870999813079834,-0.001035928726196289,Good,0.0005973026232657533,Still
30,0.8666877746582031,0.8328601121902466,0.2204064577817917,0.794134259223938,0.542260468006134,0.5617266297340393,0.038725852966308594,-0.0012866482138633728,Good,0.0005678455025583506,Still
