frame,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,nose_x,nose_y,nose_z,shoulder_diff,head_forward,posture,bad_posture_streak,depth_change,movement_status
1,0.5623633861541748,0.9245593547821045,0.10098809003829956,0.875701367855072,0.15717701613903046,0.6032567620277405,-0.6588594913482666,0.04885798692703247,-0.17449872195720673,Good,0,0,Stable
2,0.5444580912590027,0.9327027201652527,0.10017825663089752,0.8695589900016785,0.1574939787387848,0.6010082960128784,-1.0040323734283447,0.06314373016357422,-0.1648241952061653,Bad - Slouching,1,0.17258644104003906,Significant Depth Movement
3,0.5352171659469604,0.936854362487793,0.10145562887191772,0.8643861413002014,0.15770310163497925,0.5989388823509216,-1.061461091041565,0.07246822118759155,-0.16063329577445984,Bad - Slouching,2,0.07667171955108643,Stable
4,0.5315240025520325,0.9404700994491577,0.10214265435934067,0.8672049045562744,0.15771730244159698,0.58720862865448,-1.030414342880249,0.0732651948928833,-0.15911602601408958,Bad - Slouching,3,0.030574172735214233,Stable
5,0.5292592644691467,0.9408711791038513,0.10207171738147736,0.8665540814399719,0.15763114392757416,0.5748985409736633,-0.969894528388977,0.0743170976638794,-0.15803434699773788,Bad - Slouching,4,0.006240540742874168,Stable
6,0.5256027579307556,0.9408857226371765,0.10196228325366974,0.8634051084518433,0.15763722360134125,0.5694388747215271,-0.9274768829345703,0.07748061418533325,-0.15614529699087143,Bad - Slouching,5,0.053723478317260764,Stable
7,0.5253409147262573,0.9408912062644958,0.10561369359493256,0.8631423711776733,0.15789978206157684,0.5633640885353088,-0.7851537466049194,0.07774883508682251,-0.1575775220990181,Bad - Slouching,6,0.0437757253646851,Stable
8,0.5255638360977173,0.9410467147827148,0.10851838439702988,0.8619629740715027,0.1586247980594635,0.5541635155677795,-0.7291937470436096,0.07908374071121216,-0.15841631218791008,Bad - Slouching,7,0.06645346879959102,Stable
9,0.5252207517623901,0.9410644173622131,0.11293624341487885,0.8616431355476379,0.15872880816459656,0.5507671236991882,-0.6637263894081116,0.0794212818145752,-0.16034968942403793,Bad - Slouching,8,0.07333759069442758,Stable
10,0.5198103189468384,0.9402332901954651,0.1152556985616684,0.8589439988136292,0.16036008298397064,0.544011652469635,-0.6518411040306091,0.08128929138183594,-0.15717292577028275,Bad - Slouching,9,0.06361068487167354,Stable
11,0.5185989141464233,0.9401938915252686,0.11498091369867325,0.8509628772735596,0.16101853549480438,0.540431559085846,-0.6929689049720764,0.08923101425170898,-0.1557713784277439,Bad - Slouching,10,0.046901595592498735,Stable
12,0.5161579847335815,0.9382541179656982,0.11872619390487671,0.8494967818260193,0.16196207702159882,0.5388593077659607,-0.6369366645812988,0.08875733613967896,-0.1554800122976303,Bad - Slouching,11,0.02964341640472412,Stable
13,0.516373336315155,0.9378384947776794,0.11932291090488434,0.8497088551521301,0.16241899132728577,0.5373920202255249,-0.6200709939002991,0.08812963962554932,-0.15542913228273392,Bad - Slouching,12,0.021824550628662176,Stable
14,0.5200967788696289,0.9386838674545288,0.12030981481075287,0.8560953736305237,0.16238513588905334,0.5343545079231262,-0.6248118281364441,0.08258849382400513,-0.15781816095113754,Bad - Slouching,13,0.007782912254333474,Stable
15,0.5090450048446655,0.9330873489379883,0.12338928133249283,0.8556829690933228,0.16287057101726532,0.5327832102775574,-0.5982483625411987,0.07740437984466553,-0.15334657207131386,Bad - Slouching,14,0.010718548297882102,Stable
16,0.5059322714805603,0.9294889569282532,0.1254173219203949,0.8539632558822632,0.1635693460702896,0.5332271456718445,-0.6097189784049988,0.07552570104598999,-0.152105450630188,Bad - Slouching,15,0.01664998531341555,Stable
17,0.5092871785163879,0.9295225739479065,0.1254817396402359,0.8553199768066406,0.16392701864242554,0.532612681388855,-0.6203318238258362,0.07420259714126587,-0.15345744043588638,Bad - Slouching,16,0.003320968151092507,Stable
18,0.5106720924377441,0.929546594619751,0.12589462101459503,0.8561292886734009,0.16428598761558533,0.5321685075759888,-0.6317399144172668,0.0734173059463501,-0.15399736911058426,Bad - Slouching,17,0.002333784103393577,Stable
19,0.5069595575332642,0.9248103499412537,0.1362745761871338,0.8540172576904297,0.16667667031288147,0.5323599576950073,-0.634554386138916,0.07079309225082397,-0.1549403965473175,Bad - Slouching,18,0.0019485116004943626,Stable
20,0.5045991539955139,0.9205039739608765,0.13620983064174652,0.8470520377159119,0.16809722781181335,0.5325759053230286,-0.6307567358016968,0.0734519362449646,-0.15230726450681686,Bad - Slouching,19,0.006501674652099609,Stable
21,0.5183930397033691,0.91902095079422,0.133699432015419,0.8467037081718445,0.16811588406562805,0.5333046913146973,-0.634445309638977,0.07231724262237549,-0.15793035179376602,Bad - Slouching,20,0.004945266246795699,Stable
22,0.5168367624282837,0.9221482872962952,0.13198843598365784,0.8487805128097534,0.16925427317619324,0.5442531704902649,-0.6752623319625854,0.07336777448654175,-0.15515832602977753,Bad - Slouching,21,0.010986101627349809,Stable
23,0.5204466581344604,0.9266073107719421,0.12803126871585846,0.8676049709320068,0.16952358186244965,0.5457073450088501,-0.6886879205703735,0.0590023398399353,-0.1547153815627098,Bad - Slouching,22,0.011389601230621382,Stable
24,0.5158935785293579,0.9300439953804016,0.12860757112503052,0.8682757616043091,0.17067788541316986,0.5534535646438599,-0.6888518929481506,0.06176823377609253,-0.15157268941402435,Bad - Slouching,23,0.01085950136184688,Stable
25,0.5151127576828003,0.9298558831214905,0.1269834339618683,0.8678810596466064,0.18382945656776428,0.5647518634796143,-0.7390841841697693,0.06197482347488403,-0.13721863925457,Bad - Slouching,24,0.02166548967361448,Stable
26,0.5168234705924988,0.9295822978019714,0.12340174615383148,0.8675976395606995,0.19277247786521912,0.5765653252601624,-0.7822425961494446,0.06198465824127197,-0.12734013050794601,Bad - Slouching,25,0.029559457302093528,Stable
27,0.5528340339660645,0.9361738562583923,0.11679665744304657,0.8682271838188171,0.2186671495437622,0.6071982979774475,-0.8187734484672546,0.0679466724395752,-0.1161481961607933,Bad - Slouching,26,0.02870222330093386,Stable
