Emotion Detection,Time
sad,2025-07-23 13:28:19
fear,2025-07-23 13:28:21
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
surprise,2025-07-23 13:28:22
surprise,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
angry,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:22
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
sad,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
sad,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:23
neutral,2025-07-23 13:28:24
angry,2025-07-23 13:28:24
neutral,2025-07-23 13:28:24
fear,2025-07-23 13:28:24
fear,2025-07-23 13:28:24
neutral,2025-07-23 13:28:24
fear,2025-07-23 13:28:24
fear,2025-07-23 13:28:24
fear,2025-07-23 13:28:24
neutral,2025-07-23 13:28:24
sad,2025-07-23 13:28:24
fear,2025-07-23 13:28:24
angry,2025-07-23 13:28:24
fear,2025-07-23 13:28:24
sad,2025-07-23 13:28:24
sad,2025-07-23 13:28:24
angry,2025-07-23 13:28:24
sad,2025-07-23 13:28:25
sad,2025-07-23 13:28:25
fear,2025-07-23 13:28:25
neutral,2025-07-23 13:28:25
fear,2025-07-23 13:28:25
happy,2025-07-23 13:28:25
fear,2025-07-23 13:28:25
happy,2025-07-23 13:28:25
happy,2025-07-23 13:28:25
happy,2025-07-23 13:28:25
sad,2025-07-23 13:28:25
happy,2025-07-23 13:28:25
neutral,2025-07-23 13:28:25
neutral,2025-07-23 13:28:25
fear,2025-07-23 13:28:25
happy,2025-07-23 13:28:25
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
neutral,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
happy,2025-07-23 13:28:26
neutral,2025-07-23 13:28:27
surprise,2025-07-23 13:28:27
surprise,2025-07-23 13:28:27
surprise,2025-07-23 13:28:27
neutral,2025-07-23 13:28:27
surprise,2025-07-23 13:28:27
surprise,2025-07-23 13:28:27
neutral,2025-07-23 13:28:27
neutral,2025-07-23 13:28:27
neutral,2025-07-23 13:28:27
neutral,2025-07-23 13:28:27
neutral,2025-07-23 13:28:27
neutral,2025-07-23 13:28:27
surprise,2025-07-23 13:28:27
neutral,2025-07-23 13:28:27
neutral,2025-07-23 13:28:27
neutral,2025-07-23 13:28:27
surprise,2025-07-23 13:28:28
neutral,2025-07-23 13:28:28
surprise,2025-07-23 13:28:28
neutral,2025-07-23 13:28:28
angry,2025-07-23 13:28:28
neutral,2025-07-23 13:28:28
neutral,2025-07-23 13:28:28
fear,2025-07-23 13:28:28
neutral,2025-07-23 13:28:29
sad,2025-07-23 13:28:38
sad,2025-07-23 13:28:44
sad,2025-07-23 13:28:44
fear,2025-07-23 13:28:45
angry,2025-07-23 13:28:45
fear,2025-07-23 13:28:45
fear,2025-07-23 13:28:45
neutral,2025-07-23 13:28:45
neutral,2025-07-23 13:28:45
neutral,2025-07-23 13:28:45
neutral,2025-07-23 13:28:45
neutral,2025-07-23 13:28:45
neutral,2025-07-23 13:28:45
neutral,2025-07-23 13:28:45
