Emotion Detection,Time
neutral,2025-07-23 12:45:11
neutral,2025-07-23 12:45:11
sad,2025-07-23 12:45:11
sad,2025-07-23 12:45:11
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
angry,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:12
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:13
sad,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
neutral,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
happy,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
happy,2025-07-23 12:45:14
neutral,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
sad,2025-07-23 12:45:14
happy,2025-07-23 12:45:15
sad,2025-07-23 12:45:15
sad,2025-07-23 12:45:15
sad,2025-07-23 12:45:15
happy,2025-07-23 12:45:15
sad,2025-07-23 12:45:15
sad,2025-07-23 12:45:15
sad,2025-07-23 12:45:15
happy,2025-07-23 12:45:15
neutral,2025-07-23 12:45:15
sad,2025-07-23 12:45:15
sad,2025-07-23 12:45:15
happy,2025-07-23 12:45:15
sad,2025-07-23 12:45:15
neutral,2025-07-23 12:45:15
sad,2025-07-23 12:45:15
happy,2025-07-23 12:45:16
neutral,2025-07-23 12:45:16
sad,2025-07-23 12:45:16
sad,2025-07-23 12:45:16
neutral,2025-07-23 12:45:16
neutral,2025-07-23 12:45:16
neutral,2025-07-23 12:45:16
neutral,2025-07-23 12:45:16
sad,2025-07-23 12:45:16
sad,2025-07-23 12:45:16
neutral,2025-07-23 12:45:16
neutral,2025-07-23 12:45:16
happy,2025-07-23 12:45:16
neutral,2025-07-23 12:45:16
neutral,2025-07-23 12:45:16
sad,2025-07-23 12:45:16
neutral,2025-07-23 12:45:17
neutral,2025-07-23 12:45:17
neutral,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
neutral,2025-07-23 12:45:17
neutral,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
sad,2025-07-23 12:45:17
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
happy,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
angry,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
angry,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
fear,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:18
sad,2025-07-23 12:45:19
sad,2025-07-23 12:45:19
sad,2025-07-23 12:45:19
happy,2025-07-23 12:45:19
sad,2025-07-23 12:45:19
neutral,2025-07-23 12:45:19
sad,2025-07-23 12:45:19
sad,2025-07-23 12:45:19
happy,2025-07-23 12:45:19
sad,2025-07-23 12:45:20
happy,2025-07-23 12:45:20
happy,2025-07-23 12:45:25
sad,2025-07-23 12:45:25
fear,2025-07-23 12:45:27
sad,2025-07-23 12:45:27
sad,2025-07-23 12:45:28
sad,2025-07-23 12:45:28
sad,2025-07-23 12:45:28
fear,2025-07-23 12:45:28
happy,2025-07-23 12:45:30
surprise,2025-07-23 12:45:30
neutral,2025-07-23 12:45:30
sad,2025-07-23 12:45:30
sad,2025-07-23 12:45:30
sad,2025-07-23 12:45:30
sad,2025-07-23 12:45:30
sad,2025-07-23 12:45:30
sad,2025-07-23 12:45:30
sad,2025-07-23 12:45:30
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
neutral,2025-07-23 12:45:31
neutral,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
happy,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
sad,2025-07-23 12:45:31
neutral,2025-07-23 12:45:32
happy,2025-07-23 12:45:32
sad,2025-07-23 12:45:32
fear,2025-07-23 12:45:32
sad,2025-07-23 12:45:32
sad,2025-07-23 12:45:32
happy,2025-07-23 12:45:32
fear,2025-07-23 12:45:32
fear,2025-07-23 12:45:32
sad,2025-07-23 12:45:33
happy,2025-07-23 12:45:33
sad,2025-07-23 12:45:33
fear,2025-07-23 12:45:33
fear,2025-07-23 12:45:33
fear,2025-07-23 12:45:33
sad,2025-07-23 12:45:33
sad,2025-07-23 12:45:33
sad,2025-07-23 12:45:34
fear,2025-07-23 12:45:34
sad,2025-07-23 12:45:34
sad,2025-07-23 12:45:34
sad,2025-07-23 12:45:34
sad,2025-07-23 12:45:34
fear,2025-07-23 12:45:34
happy,2025-07-23 12:45:34
happy,2025-07-23 12:45:34
happy,2025-07-23 12:45:34
happy,2025-07-23 12:45:34
happy,2025-07-23 12:45:34
happy,2025-07-23 12:45:34
fear,2025-07-23 12:45:34
sad,2025-07-23 12:45:34
sad,2025-07-23 12:45:34
sad,2025-07-23 12:45:34
sad,2025-07-23 12:45:35
fear,2025-07-23 12:45:35
sad,2025-07-23 12:45:35
happy,2025-07-23 12:45:35
happy,2025-07-23 12:45:35
happy,2025-07-23 12:45:35
sad,2025-07-23 12:45:35
sad,2025-07-23 12:45:35
sad,2025-07-23 12:45:35
sad,2025-07-23 12:45:35
happy,2025-07-23 12:45:35
angry,2025-07-23 12:45:35
angry,2025-07-23 12:45:36
angry,2025-07-23 12:45:36
sad,2025-07-23 12:45:36
angry,2025-07-23 12:45:36
angry,2025-07-23 12:45:36
angry,2025-07-23 12:45:36
neutral,2025-07-23 12:45:36
fear,2025-07-23 12:45:36
neutral,2025-07-23 12:45:36
angry,2025-07-23 12:45:36
angry,2025-07-23 12:45:36
sad,2025-07-23 12:45:36
sad,2025-07-23 12:45:36
fear,2025-07-23 12:45:37
sad,2025-07-23 12:45:37
sad,2025-07-23 12:45:37
sad,2025-07-23 12:45:37
happy,2025-07-23 12:45:37
sad,2025-07-23 12:45:37
neutral,2025-07-23 12:45:37
sad,2025-07-23 12:45:37
sad,2025-07-23 12:45:37
angry,2025-07-23 12:45:37
sad,2025-07-23 12:45:37
neutral,2025-07-23 12:45:37
fear,2025-07-23 12:45:37
angry,2025-07-23 12:45:37
angry,2025-07-23 12:45:37
angry,2025-07-23 12:45:37
angry,2025-07-23 12:45:37
neutral,2025-07-23 12:45:37
angry,2025-07-23 12:45:37
angry,2025-07-23 12:45:38
fear,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
sad,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
neutral,2025-07-23 12:45:38
happy,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
sad,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
neutral,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
fear,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
fear,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
neutral,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
angry,2025-07-23 12:45:38
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:39
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
sad,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
sad,2025-07-23 12:45:40
fear,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
fear,2025-07-23 12:45:40
fear,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
angry,2025-07-23 12:45:40
fear,2025-07-23 12:45:40
sad,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
fear,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
fear,2025-07-23 12:45:41
fear,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
fear,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
sad,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
fear,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
sad,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
neutral,2025-07-23 12:45:41
sad,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
sad,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
angry,2025-07-23 12:45:41
angry,2025-07-23 12:45:42
angry,2025-07-23 12:45:42
neutral,2025-07-23 12:45:42
angry,2025-07-23 12:45:42
fear,2025-07-23 12:45:42
neutral,2025-07-23 12:45:42
angry,2025-07-23 12:45:42
neutral,2025-07-23 12:45:42
neutral,2025-07-23 12:45:42
angry,2025-07-23 12:45:42
