Emotion Detection,Time
sad,2025-07-17 14:01:17
sad,2025-07-17 14:01:17
neutral,2025-07-17 14:01:17
angry,2025-07-17 14:01:17
sad,2025-07-17 14:01:17
sad,2025-07-17 14:01:17
sad,2025-07-17 14:01:17
angry,2025-07-17 14:01:17
neutral,2025-07-17 14:01:17
sad,2025-07-17 14:01:17
angry,2025-07-17 14:01:17
sad,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
angry,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
happy,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
angry,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
angry,2025-07-17 14:01:18
angry,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
angry,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
neutral,2025-07-17 14:01:18
sad,2025-07-17 14:01:18
angry,2025-07-17 14:01:18
sad,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
happy,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
happy,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
angry,2025-07-17 14:01:19
neutral,2025-07-17 14:01:19
sad,2025-07-17 14:01:19
