Emotion Detection,Time
fear,2025-07-15 13:26:01
sad,2025-07-15 13:26:01
sad,2025-07-15 13:26:01
neutral,2025-07-15 13:26:02
neutral,2025-07-15 13:26:02
neutral,2025-07-15 13:26:02
neutral,2025-07-15 13:26:02
neutral,2025-07-15 13:26:02
neutral,2025-07-15 13:26:02
neutral,2025-07-15 13:26:02
neutral,2025-07-15 13:26:02
sad,2025-07-15 13:26:02
angry,2025-07-15 13:26:02
neutral,2025-07-15 13:26:02
neutral,2025-07-15 13:26:02
neutral,2025-07-15 13:26:03
neutral,2025-07-15 13:26:03
neutral,2025-07-15 13:26:03
fear,2025-07-15 13:26:03
sad,2025-07-15 13:26:03
neutral,2025-07-15 13:26:03
sad,2025-07-15 13:26:03
angry,2025-07-15 13:26:03
neutral,2025-07-15 13:26:03
neutral,2025-07-15 13:26:03
neutral,2025-07-15 13:26:03
neutral,2025-07-15 13:26:03
sad,2025-07-15 13:26:04
neutral,2025-07-15 13:26:04
sad,2025-07-15 13:26:04
angry,2025-07-15 13:26:04
neutral,2025-07-15 13:26:04
sad,2025-07-15 13:26:04
sad,2025-07-15 13:26:04
sad,2025-07-15 13:26:04
sad,2025-07-15 13:26:04
sad,2025-07-15 13:26:04
sad,2025-07-15 13:26:04
neutral,2025-07-15 13:26:04
happy,2025-07-15 13:26:04
sad,2025-07-15 13:26:05
fear,2025-07-15 13:26:05
fear,2025-07-15 13:26:05
sad,2025-07-15 13:26:05
fear,2025-07-15 13:26:05
neutral,2025-07-15 13:26:05
fear,2025-07-15 13:26:05
sad,2025-07-15 13:26:05
sad,2025-07-15 13:26:05
sad,2025-07-15 13:26:05
sad,2025-07-15 13:26:05
sad,2025-07-15 13:26:05
neutral,2025-07-15 13:26:06
happy,2025-07-15 13:26:06
neutral,2025-07-15 13:26:06
neutral,2025-07-15 13:26:06
neutral,2025-07-15 13:26:06
neutral,2025-07-15 13:26:06
sad,2025-07-15 13:26:06
sad,2025-07-15 13:26:06
sad,2025-07-15 13:26:06
neutral,2025-07-15 13:26:06
happy,2025-07-15 13:26:06
sad,2025-07-15 13:26:06
sad,2025-07-15 13:26:07
sad,2025-07-15 13:26:07
sad,2025-07-15 13:26:07
sad,2025-07-15 13:26:07
sad,2025-07-15 13:26:07
sad,2025-07-15 13:26:07
sad,2025-07-15 13:26:07
sad,2025-07-15 13:26:07
sad,2025-07-15 13:26:07
neutral,2025-07-15 13:26:07
sad,2025-07-15 13:26:07
neutral,2025-07-15 13:26:07
neutral,2025-07-15 13:26:07
neutral,2025-07-15 13:26:07
neutral,2025-07-15 13:26:08
neutral,2025-07-15 13:26:08
neutral,2025-07-15 13:26:08
angry,2025-07-15 13:26:08
angry,2025-07-15 13:26:08
angry,2025-07-15 13:26:08
sad,2025-07-15 13:26:08
neutral,2025-07-15 13:26:08
neutral,2025-07-15 13:26:08
happy,2025-07-15 13:26:08
happy,2025-07-15 13:26:08
happy,2025-07-15 13:26:08
happy,2025-07-15 13:26:08
happy,2025-07-15 13:26:08
happy,2025-07-15 13:26:09
happy,2025-07-15 13:26:09
neutral,2025-07-15 13:26:09
neutral,2025-07-15 13:26:09
neutral,2025-07-15 13:26:09
neutral,2025-07-15 13:26:09
sad,2025-07-15 13:26:09
neutral,2025-07-15 13:26:09
neutral,2025-07-15 13:26:09
neutral,2025-07-15 13:26:09
neutral,2025-07-15 13:26:09
neutral,2025-07-15 13:26:09
neutral,2025-07-15 13:26:10
neutral,2025-07-15 13:26:10
neutral,2025-07-15 13:26:10
neutral,2025-07-15 13:26:10
neutral,2025-07-15 13:26:10
angry,2025-07-15 13:26:10
neutral,2025-07-15 13:26:10
neutral,2025-07-15 13:26:10
neutral,2025-07-15 13:26:10
neutral,2025-07-15 13:26:10
neutral,2025-07-15 13:26:10
happy,2025-07-15 13:26:10
happy,2025-07-15 13:26:11
neutral,2025-07-15 13:26:11
happy,2025-07-15 13:26:11
neutral,2025-07-15 13:26:11
fear,2025-07-15 13:26:11
neutral,2025-07-15 13:26:11
angry,2025-07-15 13:26:11
angry,2025-07-15 13:26:11
neutral,2025-07-15 13:26:11
neutral,2025-07-15 13:26:11
happy,2025-07-15 13:26:11
neutral,2025-07-15 13:26:11
neutral,2025-07-15 13:26:11
neutral,2025-07-15 13:26:12
neutral,2025-07-15 13:26:12
neutral,2025-07-15 13:26:12
angry,2025-07-15 13:26:12
neutral,2025-07-15 13:26:12
happy,2025-07-15 13:26:12
neutral,2025-07-15 13:26:12
happy,2025-07-15 13:26:12
happy,2025-07-15 13:26:12
neutral,2025-07-15 13:26:12
sad,2025-07-15 13:26:12
sad,2025-07-15 13:26:12
angry,2025-07-15 13:26:12
neutral,2025-07-15 13:26:13
sad,2025-07-15 13:26:13
sad,2025-07-15 13:26:13
sad,2025-07-15 13:26:13
sad,2025-07-15 13:26:13
sad,2025-07-15 13:26:13
neutral,2025-07-15 13:26:13
neutral,2025-07-15 13:26:13
neutral,2025-07-15 13:26:13
neutral,2025-07-15 13:26:13
neutral,2025-07-15 13:26:13
neutral,2025-07-15 13:26:13
neutral,2025-07-15 13:26:13
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:14
neutral,2025-07-15 13:26:15
sad,2025-07-15 13:26:15
angry,2025-07-15 13:26:15
neutral,2025-07-15 13:26:15
angry,2025-07-15 13:26:15
neutral,2025-07-15 13:26:15
angry,2025-07-15 13:26:15
neutral,2025-07-15 13:26:15
neutral,2025-07-15 13:26:15
happy,2025-07-15 13:26:15
happy,2025-07-15 13:26:15
neutral,2025-07-15 13:26:15
neutral,2025-07-15 13:26:16
neutral,2025-07-15 13:26:16
happy,2025-07-15 13:26:16
happy,2025-07-15 13:26:16
happy,2025-07-15 13:26:16
neutral,2025-07-15 13:26:16
neutral,2025-07-15 13:26:16
happy,2025-07-15 13:26:16
happy,2025-07-15 13:26:16
happy,2025-07-15 13:26:16
neutral,2025-07-15 13:26:16
happy,2025-07-15 13:26:16
fear,2025-07-15 13:26:17
neutral,2025-07-15 13:26:17
happy,2025-07-15 13:26:17
neutral,2025-07-15 13:26:17
neutral,2025-07-15 13:26:17
angry,2025-07-15 13:26:17
neutral,2025-07-15 13:26:17
neutral,2025-07-15 13:26:17
happy,2025-07-15 13:26:17
happy,2025-07-15 13:26:17
neutral,2025-07-15 13:26:17
neutral,2025-07-15 13:26:18
neutral,2025-07-15 13:26:18
neutral,2025-07-15 13:26:18
happy,2025-07-15 13:26:18
angry,2025-07-15 13:26:18
neutral,2025-07-15 13:26:18
neutral,2025-07-15 13:26:18
neutral,2025-07-15 13:26:18
neutral,2025-07-15 13:26:18
neutral,2025-07-15 13:26:18
neutral,2025-07-15 13:26:18
happy,2025-07-15 13:26:18
happy,2025-07-15 13:26:19
happy,2025-07-15 13:26:19
happy,2025-07-15 13:26:19
happy,2025-07-15 13:26:19
neutral,2025-07-15 13:26:19
happy,2025-07-15 13:26:19
neutral,2025-07-15 13:26:19
happy,2025-07-15 13:26:19
neutral,2025-07-15 13:26:19
neutral,2025-07-15 13:26:19
happy,2025-07-15 13:26:19
