Emotion Detection,Time
neutral,2025-07-17 13:30:26
neutral,2025-07-17 13:30:27
neutral,2025-07-17 13:30:27
fear,2025-07-17 13:30:27
neutral,2025-07-17 13:30:28
neutral,2025-07-17 13:30:28
sad,2025-07-17 13:30:28
neutral,2025-07-17 13:30:28
neutral,2025-07-17 13:30:28
neutral,2025-07-17 13:30:28
neutral,2025-07-17 13:30:28
neutral,2025-07-17 13:30:28
sad,2025-07-17 13:30:30
sad,2025-07-17 13:30:31
sad,2025-07-17 13:30:31
fear,2025-07-17 13:30:31
neutral,2025-07-17 13:30:31
happy,2025-07-17 13:30:31
happy,2025-07-17 13:30:31
happy,2025-07-17 13:30:31
fear,2025-07-17 13:30:31
fear,2025-07-17 13:30:31
sad,2025-07-17 13:30:31
neutral,2025-07-17 13:30:31
neutral,2025-07-17 13:30:31
neutral,2025-07-17 13:30:32
neutral,2025-07-17 13:30:32
neutral,2025-07-17 13:30:32
neutral,2025-07-17 13:30:32
neutral,2025-07-17 13:30:32
fear,2025-07-17 13:30:32
happy,2025-07-17 13:30:32
angry,2025-07-17 13:30:32
neutral,2025-07-17 13:30:35
neutral,2025-07-17 13:30:36
neutral,2025-07-17 13:30:36
neutral,2025-07-17 13:30:36
neutral,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
angry,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
happy,2025-07-17 13:30:38
happy,2025-07-17 13:30:38
happy,2025-07-17 13:30:38
happy,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
happy,2025-07-17 13:30:38
neutral,2025-07-17 13:30:38
happy,2025-07-17 13:30:39
neutral,2025-07-17 13:30:39
happy,2025-07-17 13:30:39
angry,2025-07-17 13:30:39
neutral,2025-07-17 13:30:39
neutral,2025-07-17 13:30:39
angry,2025-07-17 13:30:40
angry,2025-07-17 13:30:40
angry,2025-07-17 13:30:40
sad,2025-07-17 13:30:40
sad,2025-07-17 13:30:40
angry,2025-07-17 13:30:40
sad,2025-07-17 13:30:40
angry,2025-07-17 13:30:40
sad,2025-07-17 13:30:40
angry,2025-07-17 13:30:40
angry,2025-07-17 13:30:40
angry,2025-07-17 13:30:40
angry,2025-07-17 13:30:40
angry,2025-07-17 13:30:40
sad,2025-07-17 13:30:40
angry,2025-07-17 13:30:40
neutral,2025-07-17 13:30:41
angry,2025-07-17 13:30:41
neutral,2025-07-17 13:30:41
neutral,2025-07-17 13:30:41
sad,2025-07-17 13:30:41
neutral,2025-07-17 13:30:41
sad,2025-07-17 13:30:41
sad,2025-07-17 13:30:41
neutral,2025-07-17 13:30:41
sad,2025-07-17 13:30:41
sad,2025-07-17 13:30:41
sad,2025-07-17 13:30:41
sad,2025-07-17 13:30:41
neutral,2025-07-17 13:30:41
angry,2025-07-17 13:30:41
sad,2025-07-17 13:30:41
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:42
neutral,2025-07-17 13:30:43
neutral,2025-07-17 13:30:43
neutral,2025-07-17 13:30:43
neutral,2025-07-17 13:30:43
neutral,2025-07-17 13:30:43
neutral,2025-07-17 13:30:43
neutral,2025-07-17 13:30:43
sad,2025-07-17 13:30:43
sad,2025-07-17 13:30:43
sad,2025-07-17 13:30:43
sad,2025-07-17 13:30:43
sad,2025-07-17 13:30:43
neutral,2025-07-17 13:30:43
sad,2025-07-17 13:30:43
sad,2025-07-17 13:30:43
neutral,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
neutral,2025-07-17 13:30:44
neutral,2025-07-17 13:30:44
neutral,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:44
sad,2025-07-17 13:30:45
sad,2025-07-17 13:30:45
sad,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:45
neutral,2025-07-17 13:30:46
neutral,2025-07-17 13:30:46
neutral,2025-07-17 13:30:46
neutral,2025-07-17 13:30:46
sad,2025-07-17 13:30:46
neutral,2025-07-17 13:30:46
neutral,2025-07-17 13:30:46
neutral,2025-07-17 13:30:46
neutral,2025-07-17 13:30:46
neutral,2025-07-17 13:30:46
neutral,2025-07-17 13:30:46
neutral,2025-07-17 13:30:46
sad,2025-07-17 13:30:46
sad,2025-07-17 13:30:46
sad,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
sad,2025-07-17 13:30:47
sad,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:47
neutral,2025-07-17 13:30:48
angry,2025-07-17 13:30:48
neutral,2025-07-17 13:30:48
sad,2025-07-17 13:30:48
sad,2025-07-17 13:30:48
sad,2025-07-17 13:30:48
sad,2025-07-17 13:30:48
sad,2025-07-17 13:30:48
neutral,2025-07-17 13:30:48
sad,2025-07-17 13:30:48
neutral,2025-07-17 13:30:48
neutral,2025-07-17 13:30:48
neutral,2025-07-17 13:30:48
sad,2025-07-17 13:30:48
neutral,2025-07-17 13:30:48
neutral,2025-07-17 13:30:48
sad,2025-07-17 13:30:48
neutral,2025-07-17 13:30:49
neutral,2025-07-17 13:30:49
neutral,2025-07-17 13:30:49
sad,2025-07-17 13:30:49
sad,2025-07-17 13:30:49
neutral,2025-07-17 13:30:49
neutral,2025-07-17 13:30:49
sad,2025-07-17 13:30:49
sad,2025-07-17 13:30:49
neutral,2025-07-17 13:30:49
sad,2025-07-17 13:30:49
neutral,2025-07-17 13:30:49
sad,2025-07-17 13:30:49
neutral,2025-07-17 13:30:49
neutral,2025-07-17 13:30:49
sad,2025-07-17 13:30:49
sad,2025-07-17 13:30:50
sad,2025-07-17 13:30:50
neutral,2025-07-17 13:30:50
neutral,2025-07-17 13:30:50
neutral,2025-07-17 13:30:50
sad,2025-07-17 13:30:50
sad,2025-07-17 13:30:50
sad,2025-07-17 13:30:50
sad,2025-07-17 13:30:50
sad,2025-07-17 13:30:50
sad,2025-07-17 13:30:50
neutral,2025-07-17 13:30:50
neutral,2025-07-17 13:30:50
neutral,2025-07-17 13:30:50
sad,2025-07-17 13:30:50
sad,2025-07-17 13:30:50
neutral,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
neutral,2025-07-17 13:30:51
neutral,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
neutral,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
neutral,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
sad,2025-07-17 13:30:51
sad,2025-07-17 13:30:52
neutral,2025-07-17 13:30:52
sad,2025-07-17 13:30:52
sad,2025-07-17 13:30:52
sad,2025-07-17 13:30:52
sad,2025-07-17 13:30:52
sad,2025-07-17 13:30:52
neutral,2025-07-17 13:30:52
neutral,2025-07-17 13:30:52
neutral,2025-07-17 13:30:52
neutral,2025-07-17 13:30:52
sad,2025-07-17 13:30:52
neutral,2025-07-17 13:30:52
neutral,2025-07-17 13:30:52
neutral,2025-07-17 13:30:52
neutral,2025-07-17 13:30:52
sad,2025-07-17 13:30:52
sad,2025-07-17 13:30:53
neutral,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
neutral,2025-07-17 13:30:53
neutral,2025-07-17 13:30:53
neutral,2025-07-17 13:30:53
neutral,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
sad,2025-07-17 13:30:53
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:54
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
angry,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
angry,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:55
sad,2025-07-17 13:30:56
sad,2025-07-17 13:30:56
neutral,2025-07-17 13:30:56
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:57
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
fear,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:58
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
sad,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
sad,2025-07-17 13:30:59
neutral,2025-07-17 13:30:59
sad,2025-07-17 13:30:59
neutral,2025-07-17 13:31:00
sad,2025-07-17 13:31:00
sad,2025-07-17 13:31:00
sad,2025-07-17 13:31:00
sad,2025-07-17 13:31:00
neutral,2025-07-17 13:31:00
neutral,2025-07-17 13:31:00
sad,2025-07-17 13:31:00
sad,2025-07-17 13:31:00
sad,2025-07-17 13:31:00
sad,2025-07-17 13:31:00
sad,2025-07-17 13:31:01
sad,2025-07-17 13:31:01
sad,2025-07-17 13:31:01
neutral,2025-07-17 13:31:01
neutral,2025-07-17 13:31:01
neutral,2025-07-17 13:31:01
neutral,2025-07-17 13:31:01
neutral,2025-07-17 13:31:01
neutral,2025-07-17 13:31:01
sad,2025-07-17 13:31:01
happy,2025-07-17 13:31:01
sad,2025-07-17 13:31:01
sad,2025-07-17 13:31:01
happy,2025-07-17 13:31:01
sad,2025-07-17 13:31:02
sad,2025-07-17 13:31:02
sad,2025-07-17 13:31:02
sad,2025-07-17 13:31:02
sad,2025-07-17 13:31:02
