Timestamp,X,Y,Speed
2025-08-13 13:50:59.333,859,210,3201.5621187164243
2025-08-13 13:50:59.337,865,215,1952.5624189766634
2025-08-13 13:50:59.341,876,223,3400.367627183861
2025-08-13 13:50:59.345,886,231,3201.5621187164243
2025-08-13 13:50:59.348,892,236,2603.416558635551
2025-08-13 13:50:59.352,899,244,2657.5364531836626
2025-08-13 13:50:59.356,904,247,1457.7379737113251
2025-08-13 13:50:59.360,911,254,2474.8737341529163
2025-08-13 13:50:59.364,918,260,2304.8861143232216
2025-08-13 13:50:59.368,919,263,790.5694150420949
2025-08-13 13:50:59.372,924,267,1600.7810593582121
2025-08-13 13:50:59.376,924,268,250.0
2025-08-13 13:50:59.380,926,271,901.3878188659972
2025-08-13 13:50:59.384,927,273,559.0169943749474
2025-08-13 13:50:59.388,927,274,250.0
2025-08-13 13:50:59.392,928,274,250.0
2025-08-13 13:50:59.396,928,275,250.0
2025-08-13 13:50:59.454,928,275,0.0
2025-08-13 13:50:59.458,924,274,1030.7764064044152
2025-08-13 13:50:59.463,919,272,1077.0329614269008
2025-08-13 13:50:59.467,909,268,2692.5824035672517
2025-08-13 13:50:59.471,898,263,3020.761493398643
2025-08-13 13:50:59.474,888,259,3590.1098714230025
2025-08-13 13:50:59.479,872,252,3492.8498393145956
2025-08-13 13:50:59.482,855,246,6009.252125773315
2025-08-13 13:50:59.487,830,235,5462.600113499065
2025-08-13 13:50:59.491,805,225,6731.45600891813
2025-08-13 13:50:59.495,776,213,7846.177413237608
2025-08-13 13:50:59.499,751,204,6642.6651277932115
2025-08-13 13:50:59.502,720,193,10964.58946893235
2025-08-13 13:50:59.506,689,183,8143.248737451165
2025-08-13 13:50:59.511,658,171,6648.308055437865
2025-08-13 13:50:59.515,633,162,6642.6651277932115
2025-08-13 13:50:59.518,605,153,9803.627446568495
2025-08-13 13:50:59.522,577,144,7352.720584926371
2025-08-13 13:50:59.526,550,135,7115.124735378853
2025-08-13 13:50:59.530,532,129,4743.416490252569
2025-08-13 13:50:59.534,507,120,6642.6651277932115
2025-08-13 13:50:59.542,483,111,3204.001404494074
2025-08-13 13:50:59.544,451,99,17088.00749063506
2025-08-13 13:50:59.548,436,94,3952.847075210474
2025-08-13 13:50:59.553,422,90,2912.043955712207
2025-08-13 13:50:59.557,413,87,2371.7082451262845
2025-08-13 13:50:59.561,400,82,3482.0970692960295
2025-08-13 13:50:59.565,396,81,1030.7764064044152
2025-08-13 13:50:59.569,388,77,2236.06797749979
2025-08-13 13:50:59.573,386,76,559.0169943749474
2025-08-13 13:50:59.577,382,74,1118.033988749895
2025-08-13 13:50:59.581,381,73,353.5533905932738
2025-08-13 13:50:59.585,380,73,250.0
2025-08-13 13:50:59.589,380,73,0.0
2025-08-13 13:50:59.670,380,73,0.0
2025-08-13 13:50:59.674,381,73,250.0
2025-08-13 13:50:59.679,382,74,282.842712474619
2025-08-13 13:50:59.682,384,75,745.3559924999299
2025-08-13 13:50:59.686,386,75,500.0
2025-08-13 13:50:59.690,387,77,559.0169943749474
2025-08-13 13:50:59.694,389,78,559.0169943749474
2025-08-13 13:50:59.698,391,79,559.0169943749474
2025-08-13 13:50:59.703,392,79,200.0
2025-08-13 13:50:59.707,395,81,901.3878188659972
2025-08-13 13:50:59.710,397,82,745.3559924999299
2025-08-13 13:50:59.714,398,82,250.0
2025-08-13 13:50:59.718,400,82,500.0
2025-08-13 13:50:59.722,401,82,250.0
2025-08-13 13:50:59.726,401,83,250.0
2025-08-13 13:50:59.730,402,83,250.0
2025-08-13 13:50:59.734,402,83,0.0
2025-08-13 13:50:59.738,402,84,250.0
2025-08-13 13:50:59.742,403,84,250.0
2025-08-13 13:50:59.763,404,84,47.61904761904761
2025-08-13 13:50:59.771,404,84,0.0
2025-08-13 13:50:59.779,405,84,125.0
2025-08-13 13:50:59.787,406,84,125.0
2025-08-13 13:50:59.794,406,84,0.0
2025-08-13 13:50:59.877,407,84,12.048192771084336
2025-08-13 13:50:59.881,408,84,250.0
2025-08-13 13:50:59.885,409,83,353.5533905932738
2025-08-13 13:50:59.889,410,83,250.0
2025-08-13 13:50:59.893,411,83,250.0
2025-08-13 13:50:59.897,412,82,353.5533905932738
2025-08-13 13:50:59.901,415,82,750.0
2025-08-13 13:50:59.904,417,81,745.3559924999299
2025-08-13 13:50:59.908,420,80,790.5694150420949
2025-08-13 13:50:59.912,421,79,353.5533905932738
2025-08-13 13:50:59.916,424,78,790.5694150420949
2025-08-13 13:50:59.920,427,78,750.0
2025-08-13 13:50:59.924,427,77,250.0
2025-08-13 13:50:59.928,430,77,750.0
2025-08-13 13:50:59.932,431,76,353.5533905932738
2025-08-13 13:50:59.936,431,76,0.0
2025-08-13 13:50:59.940,432,75,353.5533905932738
2025-08-13 13:50:59.944,433,75,250.0
2025-08-13 13:50:59.953,433,75,0.0
2025-08-13 13:51:00.658,433,73,2.8368794326241136
2025-08-13 13:51:00.662,433,64,2250.0
