,Emotion Detection,Time
148,fear,2025-06-30 12:26:50.180174
149,neutral,2025-06-30 12:26:50.180174
150,sad,2025-06-30 12:26:50.333497
151,neutral,2025-06-30 12:26:50.333497
152,neutral,2025-06-30 12:26:50.446528
153,fear,2025-06-30 12:26:50.446528
154,sad,2025-06-30 12:26:50.446528
155,sad,2025-06-30 12:26:50.577614
156,fear,2025-06-30 12:26:50.577614
157,neutral,2025-06-30 12:26:50.577614
158,sad,2025-06-30 12:26:50.739057
159,neutral,2025-06-30 12:26:50.739057
160,angry,2025-06-30 12:26:50.739057
161,sad,2025-06-30 12:26:50.892127
162,neutral,2025-06-30 12:26:50.892127
163,sad,2025-06-30 12:26:51.013040
164,neutral,2025-06-30 12:26:51.013040
165,fear,2025-06-30 12:26:51.209631
166,neutral,2025-06-30 12:26:51.209631
167,fear,2025-06-30 12:26:51.209631
168,fear,2025-06-30 12:26:51.370242
169,neutral,2025-06-30 12:26:51.370242
170,sad,2025-06-30 12:26:51.503830
171,neutral,2025-06-30 12:26:51.503830
