,Emotion Detection,Time
149,sad,2025-06-30 11:44:54.336297
150,fear,2025-06-30 11:44:54.420046
151,neutral,2025-06-30 11:44:56.663692
152,fear,2025-06-30 11:44:56.875153
153,fear,2025-06-30 11:44:56.974168
154,neutral,2025-06-30 11:44:57.059931
155,neutral,2025-06-30 11:44:57.167895
156,neutral,2025-06-30 11:44:57.261209
157,neutral,2025-06-30 11:44:57.395345
158,neutral,2025-06-30 11:44:57.495739
159,neutral,2025-06-30 11:44:57.611185
160,neutral,2025-06-30 11:44:57.736921
161,neutral,2025-06-30 11:44:57.852887
162,neutral,2025-06-30 11:44:57.964283
163,neutral,2025-06-30 11:44:58.081703
164,fear,2025-06-30 11:44:58.202826
165,neutral,2025-06-30 11:44:58.202826
166,neutral,2025-06-30 11:44:58.329574
167,neutral,2025-06-30 11:44:58.481269
168,neutral,2025-06-30 11:44:58.602181
169,neutral,2025-06-30 11:44:58.702580
170,neutral,2025-06-30 11:44:58.840644
171,neutral,2025-06-30 11:44:58.979588
172,neutral,2025-06-30 11:44:59.103292
173,neutral,2025-06-30 11:44:59.187160
174,neutral,2025-06-30 11:44:59.287301
175,neutral,2025-06-30 11:44:59.379189
176,neutral,2025-06-30 11:44:59.473318
177,neutral,2025-06-30 11:44:59.566629
178,neutral,2025-06-30 11:44:59.673710
179,fear,2025-06-30 11:44:59.791110
180,neutral,2025-06-30 11:44:59.875052
181,neutral,2025-06-30 11:44:59.976733
182,neutral,2025-06-30 11:45:00.103439
183,fear,2025-06-30 11:45:00.208260
184,neutral,2025-06-30 11:45:00.307885
185,neutral,2025-06-30 11:45:00.424772
186,fear,2025-06-30 11:45:00.500978
187,neutral,2025-06-30 11:45:00.604186
188,neutral,2025-06-30 11:45:00.723606
189,fear,2025-06-30 11:45:00.814835
190,neutral,2025-06-30 11:45:00.934731
191,fear,2025-06-30 11:45:01.164728
192,fear,2025-06-30 11:45:01.546603
193,neutral,2025-06-30 11:45:01.615153
194,fear,2025-06-30 11:45:01.869979
195,neutral,2025-06-30 11:45:02.218152
196,fear,2025-06-30 11:45:02.420814
197,fear,2025-06-30 11:45:02.678286
198,angry,2025-06-30 11:45:02.953375
199,angry,2025-06-30 11:45:03.052337
200,fear,2025-06-30 11:45:03.099062
201,angry,2025-06-30 11:45:03.162328
202,sad,2025-06-30 11:45:03.261975
203,angry,2025-06-30 11:45:03.357089
204,angry,2025-06-30 11:45:03.471929
205,neutral,2025-06-30 11:45:03.542504
206,sad,2025-06-30 11:45:04.330945
207,fear,2025-06-30 11:45:04.430517
208,fear,2025-06-30 11:45:04.984288
209,neutral,2025-06-30 11:45:05.069626
210,angry,2025-06-30 11:45:05.140963
211,angry,2025-06-30 11:45:05.223160
212,neutral,2025-06-30 11:45:05.298350
213,neutral,2025-06-30 11:45:05.389388
214,neutral,2025-06-30 11:45:05.502049
215,neutral,2025-06-30 11:45:05.562202
216,neutral,2025-06-30 11:45:05.622673
217,neutral,2025-06-30 11:45:05.682953
