,Emotion Detection,Time
148,neutral,2025-06-30 12:47:20.378228
149,angry,2025-06-30 12:47:20.501253
150,neutral,2025-06-30 12:47:20.501253
151,angry,2025-06-30 12:47:20.625695
152,neutral,2025-06-30 12:47:20.625695
153,neutral,2025-06-30 12:47:20.726735
154,sad,2025-06-30 12:47:20.726735
155,fear,2025-06-30 12:47:20.861278
156,sad,2025-06-30 12:47:20.861278
157,fear,2025-06-30 12:47:20.957527
158,sad,2025-06-30 12:47:20.957527
159,neutral,2025-06-30 12:47:21.064339
160,fear,2025-06-30 12:47:21.064339
161,angry,2025-06-30 12:47:21.177368
162,angry,2025-06-30 12:47:21.177368
163,angry,2025-06-30 12:47:21.297854
164,angry,2025-06-30 12:47:21.297854
165,fear,2025-06-30 12:47:21.403575
166,neutral,2025-06-30 12:47:21.403575
167,angry,2025-06-30 12:47:21.520953
168,angry,2025-06-30 12:47:21.520953
169,angry,2025-06-30 12:47:21.644954
170,neutral,2025-06-30 12:47:21.644954
171,angry,2025-06-30 12:47:21.764408
172,fear,2025-06-30 12:47:21.764408
173,happy,2025-06-30 12:47:21.900418
174,fear,2025-06-30 12:47:21.900418
175,neutral,2025-06-30 12:47:22.037342
176,angry,2025-06-30 12:47:22.037342
177,angry,2025-06-30 12:47:22.195644
178,neutral,2025-06-30 12:47:22.195644
179,angry,2025-06-30 12:47:22.319666
180,neutral,2025-06-30 12:47:22.319666
181,angry,2025-06-30 12:47:22.418326
182,angry,2025-06-30 12:47:22.418326
183,neutral,2025-06-30 12:47:22.543466
184,surprise,2025-06-30 12:47:22.543466
185,neutral,2025-06-30 12:47:22.668279
186,happy,2025-06-30 12:47:22.733369
187,neutral,2025-06-30 12:47:22.811918
188,fear,2025-06-30 12:47:22.811918
189,angry,2025-06-30 12:47:22.920928
190,neutral,2025-06-30 12:47:22.992613
191,sad,2025-06-30 12:47:22.992613
192,fear,2025-06-30 12:47:22.992613
193,happy,2025-06-30 12:47:23.152110
194,fear,2025-06-30 12:47:23.152110
195,neutral,2025-06-30 12:47:23.301251
196,sad,2025-06-30 12:47:23.301251
197,sad,2025-06-30 12:47:23.301251
198,neutral,2025-06-30 12:47:23.484894
199,sad,2025-06-30 12:47:23.484894
200,neutral,2025-06-30 12:47:23.609121
201,sad,2025-06-30 12:47:23.847838
202,sad,2025-06-30 12:47:23.936130
203,fear,2025-06-30 12:47:24.300088
204,sad,2025-06-30 12:47:24.387445
205,sad,2025-06-30 12:47:24.483898
206,angry,2025-06-30 12:47:24.483898
207,sad,2025-06-30 12:47:24.625032
208,sad,2025-06-30 12:47:24.625032
209,neutral,2025-06-30 12:47:24.925791
210,sad,2025-06-30 12:47:25.042247
211,neutral,2025-06-30 12:47:25.125614
212,sad,2025-06-30 12:47:25.215706
213,neutral,2025-06-30 12:47:25.294906
214,neutral,2025-06-30 12:47:25.357563
215,neutral,2025-06-30 12:47:25.433302
216,neutral,2025-06-30 12:47:25.517696
217,sad,2025-06-30 12:47:25.584554
218,neutral,2025-06-30 12:47:25.664921
219,neutral,2025-06-30 12:47:25.664921
220,sad,2025-06-30 12:47:25.773892
221,neutral,2025-06-30 12:47:25.773892
222,sad,2025-06-30 12:47:25.900656
223,neutral,2025-06-30 12:47:25.900656
224,angry,2025-06-30 12:47:26.000602
225,neutral,2025-06-30 12:47:26.000602
226,neutral,2025-06-30 12:47:26.124144
227,neutral,2025-06-30 12:47:26.124144
228,neutral,2025-06-30 12:47:26.216962
229,neutral,2025-06-30 12:47:26.216962
230,fear,2025-06-30 12:47:26.313038
231,neutral,2025-06-30 12:47:26.313038
232,neutral,2025-06-30 12:47:26.413559
233,neutral,2025-06-30 12:47:26.413559
234,neutral,2025-06-30 12:47:26.515145
235,neutral,2025-06-30 12:47:26.591357
236,neutral,2025-06-30 12:47:26.672273
237,neutral,2025-06-30 12:47:26.747356
238,fear,2025-06-30 12:47:26.747356
239,neutral,2025-06-30 12:47:26.860097
240,happy,2025-06-30 12:47:26.860097
241,neutral,2025-06-30 12:47:26.968206
242,happy,2025-06-30 12:47:26.968206
243,neutral,2025-06-30 12:47:27.084679
244,neutral,2025-06-30 12:47:27.184758
245,neutral,2025-06-30 12:47:27.293280
246,neutral,2025-06-30 12:47:27.379968
247,neutral,2025-06-30 12:47:27.455374
248,neutral,2025-06-30 12:47:27.528788
249,neutral,2025-06-30 12:47:27.597865
250,neutral,2025-06-30 12:47:27.679169
251,neutral,2025-06-30 12:47:27.749540
252,neutral,2025-06-30 12:47:27.851945
253,neutral,2025-06-30 12:47:27.933698
254,neutral,2025-06-30 12:47:28.004444
255,neutral,2025-06-30 12:47:28.004444
256,neutral,2025-06-30 12:47:28.135231
257,neutral,2025-06-30 12:47:28.135231
258,neutral,2025-06-30 12:47:28.254985
259,neutral,2025-06-30 12:47:28.323013
260,fear,2025-06-30 12:47:28.752793
261,happy,2025-06-30 12:47:28.851593
262,happy,2025-06-30 12:47:28.947678
263,happy,2025-06-30 12:47:29.292568
264,neutral,2025-06-30 12:47:31.848386
265,neutral,2025-06-30 12:47:31.923112
266,neutral,2025-06-30 12:47:31.992703
267,neutral,2025-06-30 12:47:32.082784
268,fear,2025-06-30 12:47:32.159484
269,neutral,2025-06-30 12:47:32.227391
270,neutral,2025-06-30 12:47:32.306550
271,neutral,2025-06-30 12:47:32.306550
272,neutral,2025-06-30 12:47:32.417092
273,fear,2025-06-30 12:47:32.496135
274,fear,2025-06-30 12:47:32.587554
275,neutral,2025-06-30 12:47:32.690051
276,sad,2025-06-30 12:47:32.820108
277,sad,2025-06-30 12:47:32.908247
278,angry,2025-06-30 12:47:33.040557
279,sad,2025-06-30 12:47:33.150862
280,angry,2025-06-30 12:47:33.245934
281,angry,2025-06-30 12:47:33.318601
282,angry,2025-06-30 12:47:33.412816
283,angry,2025-06-30 12:47:33.497098
284,fear,2025-06-30 12:47:33.605518
285,neutral,2025-06-30 12:47:33.605518
286,fear,2025-06-30 12:47:33.749385
287,angry,2025-06-30 12:47:33.812193
288,angry,2025-06-30 12:47:33.909712
289,angry,2025-06-30 12:47:33.988574
290,angry,2025-06-30 12:47:34.066932
291,angry,2025-06-30 12:47:34.168564
292,angry,2025-06-30 12:47:34.266641
293,angry,2025-06-30 12:47:34.395979
294,angry,2025-06-30 12:47:34.461344
295,angry,2025-06-30 12:47:34.568698
296,angry,2025-06-30 12:47:34.675899
297,happy,2025-06-30 12:47:34.759889
